obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""2570.5498""","=""0.0003""","=""2570.54950""","=""0.00020""","=""9000""","=""1.11e+08""",C+,"=""37227.277""","=""76129.465""","=""3d6.(1S2).4s""","=""a 2S""","=""1/2""","=""3d6.(1S2).4p""","=""x 2P*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2570.7219""","=""0.0019""","=""2570.72131""","=""0.00012""","=""330""","=""1.9e+06""",D,"=""68000.785""","=""106900.373""","=""3d6.(3G).4p""","=""y 2H*""","=""9/2""","=""3d6.(3F2).4d""","=""2G""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2570.888""","=""0.005""","=""2570.87656""","=""0.00011""","=""180d?""","=""3.5e+05""",D,"=""65696.053""","=""104593.292""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""","=""3d6.(5D).5d""","=""6G""","=""11/2""",,"=""T6892c83""","=""L18349c143""",
"=""2571.241""","=""0.005""","=""2571.23107""","=""0.00013""","=""170d?""","=""1.6e+06""",D,"=""66522.310""","=""105414.186""","=""3d6.(3G).4p""","=""x 4F*""","=""5/2""","=""3d6.(3F2).4d""","=""4G""","=""5/2""",,"=""T6892c83""","=""L18349c143""",
"=""2571.297""","=""0.020""","=""2571.3184""","=""0.0003""","=""40000aff(Fe I)""","=""1.1e+05""",E,"=""48039.109""","=""86929.664""","=""3d7""","=""d 2D1""","=""5/2""","=""3d6.(3P1).4p""","=""v 4D*""","=""7/2""",,"=""T6892c83""","=""L7357""",
"=""2571.61917""","=""0.00012""","=""2571.61912""","=""0.00013""","=""70000""","=""1.84e+08""",C+,"=""30764.4737""","=""69650.481""","=""3d6.(3G).4s""","=""b 2G""","=""7/2""","=""3d6.(3G).4p""","=""y 2F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2571.6496""","=""0.0003""","=""2571.64925""","=""0.00014""","=""8000""","=""1.1e+07""",D+,"=""33466.4943""","=""72352.046""","=""3d6.(1G2).4s""","=""c 2G""","=""9/2""","=""3d6.(3D).4p""","=""w 4F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2571.9427""","=""0.0004""","=""2571.94264""","=""0.00011""","=""3200""","=""4.4e+07""",D+,"=""60807.239""","=""99688.355""","=""3d6.(3H).4p""","=""z 4G*""","=""9/2""","=""3d6.(3F2).5s""","=""f 4F""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2572.2267""","=""0.0006""","=""2572.22625""","=""0.00011""","=""2000""","=""4.2e+07""",D+,"=""61041.734""","=""99918.563""","=""3d6.(3H).4p""","=""z 4G*""","=""5/2""","=""3d6.(3F2).5s""","=""f 4F""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2572.3191""","=""0.0005""","=""2572.31848""","=""0.00012""","=""5000""","=""2.89e+06""",C,"=""22637.1950""","=""61512.630""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(3H).4p""","=""z 4I*""","=""9/2""",,"=""T7158""","=""L18349c139""",
"=""2572.434""","=""0.005""","=""2572.42634""","=""0.00011""","=""180""","=""1.9e+06""",D,"=""65109.691""","=""103983.496""","=""3d6.(3F2).4p""","=""y 2G*""","=""7/2""","=""3d6.(3G).5s""","=""e 2G""","=""7/2""",,"=""T6892c83""","=""L18349c143""",
"=""2572.496""","=""0.005""","=""2572.4995""","=""0.0003""","=""230?""","=""""",,"=""47674.728""","=""86547.427""","=""3d7""","=""d 2D1""","=""3/2""","=""3d6.(1F).4p""","=""u 2F*""","=""5/2""",,"=""""","=""L18349c142""",
"=""2572.696""","=""0.005""","=""2572.68458""","=""0.00020""","=""100d,bl?""","=""""",,"=""75600.900""","=""114470.803""","=""3d6.(3D).4p""","=""w 2F*""","=""7/2""","=""3d6.(5D).6d""","=""114470""","=""5/2""",,"=""""","=""L18349c143""",
"=""2572.809""","=""0.005""","=""2572.8007""","=""0.0003""","=""280""","=""""",,"=""57411.086""","=""96279.234""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d5.(4G).4s.4p.(3P*)""","=""t 2F*""","=""5/2""",,"=""""","=""L18349c143""",
"=""2572.8589""","=""0.0005""","=""2572.85886""","=""0.00011""","=""2700""","=""5.1e+07""",D+,"=""60956.781""","=""99824.051""","=""3d6.(3H).4p""","=""z 4G*""","=""7/2""","=""3d6.(3F2).5s""","=""f 4F""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2572.9923""","=""0.0007""","=""2572.99159""","=""0.00020""","=""500""","=""1.5e+07""",D+,"=""66612.659""","=""105477.924""","=""3d6.(3G).4p""","=""x 4F*""","=""3/2""","=""3d6.(3F2).4d""","=""4D""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2573.2409""","=""0.0011""","=""2573.24087""","=""0.00011""","=""600""","=""9.e+06""",D+,"=""66377.315""","=""105238.815""","=""3d6.(3G).4p""","=""x 4F*""","=""7/2""","=""3d6.(3P2).4d""","=""2D""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2573.3107""","=""0.0019""","=""2573.30993""","=""0.00011""","=""500""","=""""",,"=""66012.775""","=""104873.232""","=""3d6.(3G).4p""","=""x 4F*""","=""9/2""","=""3d6.(5D).5d""","=""4D""","=""7/2""",,"=""""","=""L18349c139""",
"=""2573.645""","=""0.005""","=""2573.64485""","=""0.00013""","=""180?""","=""""",,"=""65556.271""","=""104411.671""","=""3d6.(3H).4p""","=""z 2H*""","=""9/2""","=""3d6.(5D).5d""","=""6D""","=""9/2""",,"=""""","=""L18349c143""",
