obs_wl_vac(A),unc_obs_wl,ritz_wl_vac(A),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
"=""2000.371""","=""0.005""","=""2000.37261""","=""0.00009""","=""2300d?""","=""""",,"=""13474.4474""","=""63465.134""","=""3d7""","=""a 4P""","=""5/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""",,"=""""","=""L18349c143""",
"=""2001.02542""","=""0.00010""","=""2001.02541""","=""0.00009""","=""80000""","=""9.5e+07""",C+,"=""20340.2461""","=""70314.624""","=""3d7""","=""a 2H""","=""11/2""","=""3d6.(3G).4p""","=""x 2G*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2001.5528""","=""0.0004""","=""2001.55244""","=""0.00009""","=""1400""","=""6.e+06""",D,"=""57493.333""","=""107454.552""","=""3d5.4s2""","=""d 4P""","=""3/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4D*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2001.5773""","=""0.0003""","=""2001.57728""","=""0.00009""","=""1600""","=""""",,"=""57411.086""","=""107371.685""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d5.(2D1).4s.4p.(3P*)""","=""4D*""","=""5/2""",,"=""""","=""L18349c139""",
"=""2002.481""","=""0.005""","=""2002.47779""","=""0.00010""","=""250bl(Fe III)""","=""""",,"=""59663.440""","=""109601.572""","=""3d6.(3P2).4p""","=""z 4S*""","=""3/2""","=""3d6.(3D).5s""","=""2D""","=""3/2""",,"=""""","=""L18349c142""",
"=""2003.131""","=""0.005""","=""2003.13266""","=""0.00009""","=""210d?""","=""""",,"=""63559.498""","=""113481.304""","=""3d6.(3F2).4p""","=""x 4D*""","=""1/2""","=""3d6.(5D).7s""","=""4D""","=""3/2""",,"=""""","=""L18349c142""",
"=""2003.2042""","=""0.0005""","=""2003.20433""","=""0.00010""","=""1000""","=""""",,"=""57578.490""","=""107498.510""","=""3d5.4s2""","=""d 4P""","=""1/2""","=""3d6.(5D).6p""","=""4D*""","=""3/2""",,"=""""","=""L18349c139""",
"=""2003.8395""","=""0.0013""","=""2003.8395""","=""0.0005""","=""600""","=""3.9e+07""",D+,"=""54063.358""","=""103967.555""","=""3d6.(3P1).4s""","=""c 2P""","=""1/2""","=""3d5.(4P).4s.4p.(3P*)""","=""2S*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2004.155""","=""0.005""","=""2004.16132""","=""0.00010""","=""600bl(Fe III)""","=""""",,"=""60270.351""","=""110166.534""","=""3d5.4s2""","=""c 4D""","=""7/2""","=""3d6.(3F2).5p""","=""4F*""","=""9/2""",,"=""""","=""L18349c142""",
"=""2004.254""","=""0.005""","=""2004.26423""","=""0.00009""","=""310bl(Fe I)""","=""""",,"=""64040.891""","=""113934.512""","=""3d6.(3F2).4p""","=""y 4G*""","=""7/2""","=""3d6.(5D).6d""","=""6D""","=""5/2""",,"=""""","=""L18349c143""",
"=""2004.5591""","=""0.0007""","=""2004.55863""","=""0.00009""","=""2900""","=""5.e+06""",D,"=""13673.2045""","=""63559.498""","=""3d7""","=""a 4P""","=""3/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2004.8781""","=""0.0008""","=""2004.87779""","=""0.00009""","=""700""","=""""",,"=""57493.333""","=""107371.685""","=""3d5.4s2""","=""d 4P""","=""3/2""","=""3d5.(2D1).4s.4p.(3P*)""","=""4D*""","=""5/2""",,"=""""","=""L18349c139""",
"=""2004.9709""","=""0.0012""","=""2004.96984""","=""0.00009""","=""500""","=""2.6e+07""",E,"=""57578.490""","=""107454.552""","=""3d5.4s2""","=""d 4P""","=""1/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4D*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2005.0328""","=""0.0005""","=""2005.03303""","=""0.00009""","=""800""","=""4.0e+06""",D,"=""60270.351""","=""110144.841""","=""3d5.4s2""","=""c 4D""","=""7/2""","=""3d6.(3F2).5p""","=""4F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2005.090""","=""0.005""","=""2005.08192""","=""0.00012""","=""310d?""","=""""",,"=""58666.199""","=""108539.473""","=""3d6.(1G1).4s""","=""d 2G""","=""7/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""5/2""",,"=""""","=""L18349c143""",
"=""2006.369""","=""0.005""","=""2006.35742""","=""0.00009""","=""700d""","=""""",,"=""22810.3459""","=""72651.914""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(3D).4p""","=""w 4D*""","=""7/2""",,"=""""","=""L18349c142""",
"=""2006.409""","=""0.005""","=""2006.40637""","=""0.00009""","=""1300""","=""""",,"=""22810.3459""","=""72650.698""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(3D).4p""","=""w 4F*""","=""9/2""",,"=""""","=""L18349c142""",
"=""2007.6621""","=""0.0003""","=""2007.66313""","=""0.00009""","=""16000""","=""2.0e+07""",D+,"=""22810.3459""","=""72619.499""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(3D).4p""","=""w 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c148""",
"=""2007.8331""","=""0.0005""","=""2007.83328""","=""0.00009""","=""1200""","=""4.2e+06""",D,"=""57493.333""","=""107298.265""","=""3d5.4s2""","=""d 4P""","=""3/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2008.0910""","=""0.0003""","=""2008.09126""","=""0.00009""","=""9000""","=""8.e+06""",D+,"=""13474.4474""","=""63272.981""","=""3d7""","=""a 4P""","=""5/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2008.3578""","=""0.0002""","=""2008.35760""","=""0.00009""","=""13000""","=""1.6e+07""",D+,"=""13673.2045""","=""63465.134""","=""3d7""","=""a 4P""","=""3/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2008.5961""","=""0.0006""","=""2008.59595""","=""0.00009""","=""1000""","=""""",,"=""57411.086""","=""107197.107""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d6.(5D).6p""","=""6P*""","=""7/2""",,"=""""","=""L18349c139""",
"=""2009.202""","=""0.005""","=""2009.20687""","=""0.00012""","=""900bl(Fe I)""","=""""",,"=""44929.532""","=""94700.415""","=""3d6.(1F).4s""","=""c 2F""","=""5/2""","=""3d6.(3F1).4p""","=""2D*""","=""5/2""",,"=""""","=""L18349c143""",
"=""2009.681""","=""0.005""","=""2009.67917""","=""0.00012""","=""700bl(Fe I)""","=""""",,"=""22409.8178""","=""72169.004""","=""3d6.(3P2).4s""","=""b 4P""","=""1/2""","=""3d6.(3D).4p""","=""w 4F*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2009.830""","=""0.005""","=""2009.82600""","=""0.00012""","=""700""","=""""",,"=""44929.532""","=""94685.083""","=""3d6.(1F).4s""","=""c 2F""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""6P*""","=""5/2""",,"=""""","=""L18349c143""",
"=""2009.866""","=""0.005""","=""2009.86143""","=""0.00009""","=""340d?""","=""""",,"=""57411.086""","=""107165.760""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d6.(5D).6p""","=""4F*""","=""7/2""",,"=""""","=""L18349c143""",
"=""2009.9378""","=""0.0003""","=""2009.93774""","=""0.00009""","=""2200""","=""""",,"=""57411.086""","=""107163.871""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d6.(5D).6p""","=""4P*""","=""5/2""",,"=""""","=""L18349c139""",
"=""2010.017""","=""0.005""","=""2010.02464""","=""0.00012""","=""500d""","=""""",,"=""38214.503""","=""87965.137""","=""3d6.(1D2).4s""","=""c 2D""","=""3/2""","=""3d5.(4G).4s.4p.(3P*)""","=""y 6F*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2010.640""","=""0.005""","=""2010.63964""","=""0.00009""","=""2200d""","=""8.e+05""",D,"=""15844.6485""","=""65580.065""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3G).4p""","=""x 4G*""","=""11/2""",,"=""T6892c83""","=""L18349c143""",
"=""2011.34681""","=""0.00010""","=""2011.34678""","=""0.00009""","=""60000""","=""8.e+07""",D+,"=""20805.7632""","=""70523.694""","=""3d7""","=""a 2H""","=""9/2""","=""3d6.(3G).4p""","=""x 2G*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2011.476""","=""0.005""","=""2011.47138""","=""0.00009""","=""1100""","=""""",,"=""22637.1950""","=""72352.046""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(3D).4p""","=""w 4F*""","=""7/2""",,"=""""","=""L18349c142""",
"=""2011.6025""","=""0.0009""","=""2011.60202""","=""0.00009""","=""2600""","=""2.4e+06""",D,"=""15844.6485""","=""65556.271""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3H).4p""","=""z 2H*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2011.7131""","=""0.0010""","=""2011.71372""","=""0.00010""","=""2100""","=""""",,"=""16369.4098""","=""66078.272""","=""3d7""","=""a 2G""","=""7/2""","=""3d6.(3G).4p""","=""x 4G*""","=""5/2""",,"=""""","=""L18349c139""",
"=""2012.091""","=""0.005""","=""2012.09017""","=""0.00009""","=""290d,bl(Fe I)?""","=""""",,"=""60445.279""","=""110144.841""","=""3d5.4s2""","=""c 4D""","=""5/2""","=""3d6.(3F2).5p""","=""4F*""","=""7/2""",,"=""""","=""L18349c143""",
"=""2012.189""","=""0.005""","=""2012.19888""","=""0.00009""","=""250bl""","=""""",,"=""65109.691""","=""114806.568""","=""3d6.(3F2).4p""","=""y 2G*""","=""7/2""","=""3d6.(5D).6d""","=""4G""","=""5/2""",,"=""""","=""L18349c142""",
"=""2012.315""","=""0.005""","=""2012.30869""","=""0.00009""","=""400d?""","=""1.5e+06""",D,"=""54275.649""","=""103969.814""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""7/2""",,"=""T6892c83""","=""L18349c143""",
"=""2012.353""","=""0.005""","=""2012.35017""","=""0.00009""","=""700d?""","=""""",,"=""20830.5534""","=""70523.694""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(3G).4p""","=""x 2G*""","=""7/2""",,"=""""","=""L18349c142""",
"=""2012.881""","=""0.005""","=""2012.87646""","=""0.00009""","=""2100d?""","=""2.3e+06""",D,"=""22939.3512""","=""72619.499""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(3D).4p""","=""w 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c143""",
"=""2013.2660""","=""0.0005""","=""2013.26589""","=""0.00009""","=""1200""","=""""",,"=""57493.333""","=""107163.871""","=""3d5.4s2""","=""d 4P""","=""3/2""","=""3d6.(5D).6p""","=""4P*""","=""5/2""",,"=""""","=""L18349c139""",
"=""2013.335""","=""0.005""","=""2013.33476""","=""0.00009""","=""260bl(Fe III)""","=""""",,"=""64425.405""","=""114094.244""","=""3d6.(3F2).4p""","=""z 2F*""","=""5/2""","=""3d6.(5D).6d""","=""114094""","=""5/2""",,"=""""","=""L18349c142""",
"=""2013.9108""","=""0.0003""","=""2013.91058""","=""0.00009""","=""10000""","=""2.7e+07""",D+,"=""13904.8604""","=""63559.498""","=""3d7""","=""a 4P""","=""1/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2014.3136""","=""0.0008""","=""2014.31366""","=""0.00012""","=""4000""","=""2.7e+07""",D+,"=""26932.7348""","=""76577.436""","=""3d6.(3P2).4s""","=""b 2P""","=""1/2""","=""3d6.(1S2).4p""","=""x 2P*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2014.779""","=""0.005""","=""2014.77872""","=""0.00016""","=""1300bl(Fe II)*""","=""""",,"=""22409.8178""","=""72043.060""","=""3d6.(3P2).4s""","=""b 4P""","=""1/2""","=""3d6.(3D).4p""","=""w 4P*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2014.779""","=""0.005""","=""2014.78311""","=""0.00009""","=""1300bl(Fe II)*""","=""""",,"=""57411.086""","=""107044.220""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d6.(5D).6p""","=""6D*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2015.0205""","=""0.0002""","=""2015.02041""","=""0.00009""","=""3000""","=""1.4e+07""",E,"=""57411.086""","=""107038.375""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4D*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2015.128""","=""0.005""","=""2015.13175""","=""0.00012""","=""700d?""","=""""",,"=""22637.1950""","=""72261.742""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(1G2).4p""","=""x 2H*""","=""11/2""",,"=""""","=""L18349c142""",
"=""2015.347""","=""0.005""","=""2015.34667""","=""0.00012""","=""600d?""","=""""",,"=""25981.6451""","=""75600.900""","=""3d6.(3G).4s""","=""a 4G""","=""7/2""","=""3d6.(3D).4p""","=""w 2F*""","=""7/2""",,"=""""","=""L18349c142""",
"=""2015.591""","=""0.005""","=""2015.57918""","=""0.00009""","=""400bl(Fe I)""","=""""",,"=""60956.781""","=""110570.312""","=""3d6.(3H).4p""","=""z 4G*""","=""7/2""","=""3d6.(3G).4d""","=""2F""","=""7/2""",,"=""""","=""L18349c143""",
"=""2015.759""","=""0.005""","=""2015.75986""","=""0.00009""","=""330""","=""""",,"=""54273.656""","=""103882.740""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""7/2""",,"=""""","=""L18349c142""",
"=""2015.8508""","=""0.0013""","=""2015.85080""","=""0.00010""","=""400""","=""4.5e+06""",D,"=""57411.086""","=""107017.932""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2016.0053""","=""0.0005""","=""2016.00413""","=""0.00012""","=""500""","=""""",,"=""54902.286""","=""104505.359""","=""3d6.(3P1).4s""","=""c 2P""","=""3/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4F*""","=""3/2""",,"=""""","=""L18349c139""",
"=""2016.13806""","=""0.00012""","=""2016.13812""","=""0.00009""","=""28000""","=""2.3e+07""",D+,"=""13673.2045""","=""63272.981""","=""3d7""","=""a 4P""","=""3/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2016.5025""","=""0.0010""","=""2016.50290""","=""0.00009""","=""600""","=""1.3e+06""",D,"=""54283.236""","=""103874.040""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2016.7302""","=""0.0004""","=""2016.73040""","=""0.00009""","=""9000""","=""1.9e+07""",D+,"=""22939.3512""","=""72524.561""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(3D).4p""","=""w 4D*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2017.376""","=""0.005""","=""2017.3741""","=""0.0004""","=""400d?""","=""""",,"=""50187.822""","=""99757.211""","=""3d6.(3F1).4s""","=""c 4F""","=""7/2""","=""3d5.(4G).4s.4p.(3P*)""","=""2G*""","=""9/2""",,"=""""","=""L18349c142""",
"=""2017.4372""","=""0.0011""","=""2017.43817""","=""0.00010""","=""400""","=""""",,"=""61041.734""","=""110609.548""","=""3d6.(3H).4p""","=""z 4G*""","=""5/2""","=""3d6.(3G).4d""","=""4F""","=""3/2""",,"=""""","=""L18349c139""",
"=""2017.684""","=""0.005""","=""2017.67694""","=""0.00009""","=""1800""","=""""",,"=""16369.4098""","=""65931.358""","=""3d7""","=""a 2G""","=""7/2""","=""3d6.(3G).4p""","=""x 4G*""","=""7/2""",,"=""""","=""L18349c142""",
"=""2017.7451""","=""0.0002""","=""2017.74512""","=""0.00009""","=""12000""","=""1.5e+07""",D+,"=""13904.8604""","=""63465.134""","=""3d7""","=""a 4P""","=""1/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2018.5020""","=""0.0009""","=""2018.50158""","=""0.00009""","=""5000""","=""6.1e+06""",D+,"=""22810.3459""","=""72352.046""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(3D).4p""","=""w 4F*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2019.1989""","=""0.0009""","=""2019.19858""","=""0.00009""","=""600""","=""9.e+06""",E,"=""57493.333""","=""107017.932""","=""3d5.4s2""","=""d 4P""","=""3/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4D*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2019.42877""","=""0.00011""","=""2019.42858""","=""0.00009""","=""35000""","=""2.6e+07""",D+,"=""15844.6485""","=""65363.607""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3H).4p""","=""z 2H*""","=""11/2""",,"=""T6892c83""","=""L18349c139""",
"=""2019.545""","=""0.005""","=""2019.54345""","=""0.00010""","=""280d?""","=""""",,"=""61093.406""","=""110609.548""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""","=""3d6.(3G).4d""","=""4F""","=""3/2""",,"=""""","=""L18349c143""",
"=""2019.843""","=""0.005""","=""2019.84046""","=""0.00009""","=""700""","=""""",,"=""20805.7632""","=""70314.624""","=""3d7""","=""a 2H""","=""9/2""","=""3d6.(3G).4p""","=""x 2G*""","=""9/2""",,"=""""","=""L18349c142""",
"=""2020.476""","=""0.005""","=""2020.47639""","=""0.00010""","=""2100d?""","=""3.1e+06""",D,"=""23031.2829""","=""72524.561""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(3D).4p""","=""w 4D*""","=""3/2""",,"=""T6892c83""","=""L18349c143""",
"=""2020.704""","=""0.005""","=""2020.70137""","=""0.00009""","=""800d?""","=""""",,"=""13474.4474""","=""62962.215""","=""3d7""","=""a 4P""","=""5/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2021.3657""","=""0.0007""","=""2021.36486""","=""0.00009""","=""700""","=""""",,"=""60956.781""","=""110428.305""","=""3d6.(3H).4p""","=""z 4G*""","=""7/2""","=""3d6.(3G).4d""","=""4F""","=""5/2""",,"=""""","=""L18349c139""",
"=""2021.40274""","=""0.00010""","=""2021.40271""","=""0.00009""","=""40000""","=""1.83e+07""",C+,"=""13474.4474""","=""62945.045""","=""3d7""","=""a 4P""","=""5/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""7/2""",,"=""T7461""","=""L18349c139""",
"=""2021.726""","=""0.005""","=""2021.72763""","=""0.00009""","=""240d?""","=""""",,"=""63465.134""","=""112927.781""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""","=""3d5.(6S).4p2""","=""6P""","=""3/2""",,"=""""","=""L18349c143""",
"=""2022.232""","=""0.005""","=""2022.22020""","=""0.00009""","=""210d?""","=""""",,"=""65580.065""","=""115030.664""","=""3d6.(3G).4p""","=""x 4G*""","=""11/2""","=""3d6.(3D).4d""","=""4F""","=""9/2""",,"=""""","=""L18349c143""",
"=""2022.316""","=""0.005""","=""2022.30653""","=""0.00009""","=""400d,bl(Fe II)?*""","=""""",,"=""54232.201""","=""103680.689""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d6.(5D<2>).4f""","=""2[5]*""","=""9/2""",,"=""""","=""L18349c143""",
"=""2022.316""","=""0.005""","=""2022.32178""","=""0.00012""","=""400d,bl(Fe II)?*""","=""""",,"=""52582.850""","=""102030.965""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""7/2""","=""3d6.(5D).6s""","=""6D""","=""7/2""",,"=""""","=""L18349c143""",
"=""2023.774""","=""0.005""","=""2023.77143""","=""0.00009""","=""1800""","=""1.1e+06""",D,"=""22939.3512""","=""72352.046""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(3D).4p""","=""w 4F*""","=""7/2""",,"=""T6892c83""","=""L18349c142""",
"=""2023.953""","=""0.005""","=""2023.94554""","=""0.00009""","=""190bl(Fe III)""","=""""",,"=""64834.069""","=""114242.513""","=""3d6.(3P2).4p""","=""z 2P*""","=""3/2""","=""3d6.(5D).6d""","=""114242""","=""5/2""",,"=""""","=""L18349c142""",
"=""2024.3571""","=""0.0012""","=""2024.35739""","=""0.00020""","=""4000""","=""1.7e+07""",D,"=""23031.2829""","=""72429.675""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(3D).4p""","=""w 4D*""","=""1/2""",,"=""T6892c83""","=""L18349c139""",
"=""2025.191""","=""0.005""","=""2025.20153""","=""0.00009""","=""500""","=""""",,"=""54283.236""","=""103661.038""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d6.(5D<2>).4f""","=""2[2]*""","=""5/2""",,"=""""","=""L18349c143""",
"=""2025.380""","=""0.005""","=""2025.38102""","=""0.00016""","=""700bl(Ar I)""","=""""",,"=""38164.220""","=""87537.646""","=""3d6.(1D2).4s""","=""c 2D""","=""5/2""","=""3d5.(4G).4s.4p.(3P*)""","=""y 6F*""","=""7/2""",,"=""""","=""L18349c142""",
"=""2025.9294""","=""0.0003""","=""2025.92930""","=""0.00009""","=""1100""","=""""",,"=""60807.239""","=""110167.303""","=""3d6.(3H).4p""","=""z 4G*""","=""9/2""","=""3d6.(3G).4d""","=""4F""","=""7/2""",,"=""""","=""L18349c139""",
"=""2026.135""","=""0.005""","=""2026.1404""","=""0.0003""","=""700bl(Zn I)""","=""""",,"=""54063.358""","=""103418.280""","=""3d6.(3P1).4s""","=""c 2P""","=""1/2""","=""3d6.(5D<3>).4f""","=""2[0]*""","=""1/2""",,"=""""","=""L18349c143""",
"=""2026.710""","=""0.005""","=""2026.70089""","=""0.00009""","=""250bl(Fe III)""","=""""",,"=""64831.951""","=""114173.223""","=""3d6.(3F2).4p""","=""y 2G*""","=""9/2""","=""3d6.(5D).6d""","=""6D""","=""7/2""",,"=""""","=""L18349c142""",
"=""2026.9756""","=""0.0015""","=""2026.97453""","=""0.00009""","=""250""","=""""",,"=""65696.053""","=""115030.664""","=""3d6.(3G).4p""","=""x 4G*""","=""9/2""","=""3d6.(3D).4d""","=""4F""","=""9/2""",,"=""""","=""L18349c139""",
"=""2027.5398""","=""0.0011""","=""2027.54020""","=""0.00009""","=""500""","=""""",,"=""57493.333""","=""106814.180""","=""3d5.4s2""","=""d 4P""","=""3/2""","=""3d6.(5D).6p""","=""6D*""","=""5/2""",,"=""""","=""L18349c139""",
"=""2028.4297""","=""0.0007""","=""2028.42995""","=""0.00012""","=""6000""","=""6.6e+06""",D+,"=""22939.3512""","=""72238.564""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(3D).4p""","=""w 4F*""","=""5/2""",,"=""T6892c83""","=""L18349c139""",
"=""2028.851""","=""0.005""","=""2028.84982""","=""0.00010""","=""1300""","=""""",,"=""13673.2045""","=""62962.215""","=""3d7""","=""a 4P""","=""3/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2029.2310""","=""0.0011""","=""2029.23190""","=""0.00009""","=""500""","=""2.3e+06""",D,"=""60270.351""","=""109550.081""","=""3d5.4s2""","=""c 4D""","=""7/2""","=""3d6.(3P2).5p""","=""4D*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2029.8369""","=""0.0003""","=""2029.83688""","=""0.00010""","=""8000""","=""6.0e+06""",D+,"=""15844.6485""","=""65109.691""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3F2).4p""","=""y 2G*""","=""7/2""",,"=""T6892c83""","=""L18349c139""",
"=""2030.535""","=""0.005""","=""2030.53383""","=""0.00012""","=""600d?""","=""""",,"=""26352.7671""","=""75600.900""","=""3d6.(3H).4s""","=""b 2H""","=""9/2""","=""3d6.(3D).4p""","=""w 2F*""","=""7/2""",,"=""""","=""L18349c142""",
"=""2030.756""","=""0.005""","=""2030.75576""","=""0.00012""","=""140d?""","=""""",,"=""73054.913""","=""122297.664""","=""3d6.(1G2).4p""","=""x 2F*""","=""5/2""","=""3d6.(3H).6s""","=""4H""","=""7/2""",,"=""""","=""L18349c143""",
"=""2031.297""","=""0.005""","=""2031.29606""","=""0.00010""","=""900""","=""""",,"=""22939.3512""","=""72169.004""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(3D).4p""","=""w 4F*""","=""3/2""",,"=""""","=""L18349c142""",
"=""2031.886""","=""0.005""","=""2031.88323""","=""0.00009""","=""1100""","=""""",,"=""13474.4474""","=""62689.874""","=""3d7""","=""a 4P""","=""5/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""5/2""",,"=""""","=""L18349c142""",
"=""2032.220""","=""0.005""","=""2032.21958""","=""0.00010""","=""1600""","=""""",,"=""23031.2829""","=""72238.564""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(3D).4p""","=""w 4F*""","=""5/2""",,"=""""","=""L18349c142""",
"=""2032.6235""","=""0.0010""","=""2032.62448""","=""0.00009""","=""700""","=""""",,"=""57411.086""","=""106608.565""","=""3d5.4s2""","=""d 4P""","=""5/2""","=""3d6.(5D).6p""","=""6D*""","=""7/2""",,"=""""","=""L18349c139""",
"=""2032.6548""","=""0.0016""","=""2032.65541""","=""0.00017""","=""2600""","=""1.1e+07""",D+,"=""26932.7348""","=""76129.465""","=""3d6.(3P2).4s""","=""b 2P""","=""1/2""","=""3d6.(1S2).4p""","=""x 2P*""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
"=""2033.06342""","=""0.00012""","=""2033.06325""","=""0.00010""","=""33000""","=""2.7e+07""",D+,"=""16369.4098""","=""65556.271""","=""3d7""","=""a 2G""","=""7/2""","=""3d6.(3H).4p""","=""z 2H*""","=""9/2""",,"=""T6892c83""","=""L18349c139""",
"=""2033.0793""","=""0.0002""","=""2033.07843""","=""0.00009""","=""1900""","=""""",,"=""60625.446""","=""109811.940""","=""3d6.(3H).4p""","=""z 4G*""","=""11/2""","=""3d6.(3G).4d""","=""4F""","=""9/2""",,"=""""","=""L18349c145""",
"=""2033.279""","=""0.005""","=""2033.27635""","=""0.00012""","=""2100d?""","=""1.1e+07""",D,"=""23031.2829""","=""72212.989""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(3D).4p""","=""w 4P*""","=""1/2""",,"=""T6892c83""","=""L18349c143""",
"=""2033.5576""","=""0.0004""","=""2033.55694""","=""0.00012""","=""500""","=""""",,"=""69102.427""","=""118277.347""","=""3d5.(6S).4s.4p.(3P*)""","=""x 4P*""","=""5/2""","=""3d5.4p2""","=""4P""","=""3/2""",,"=""""","=""L18349c139""",
"=""2034.347""","=""0.005""","=""2034.34518""","=""0.00010""","=""1100""","=""""",,"=""13673.2045""","=""62829.071""","=""3d7""","=""a 4P""","=""3/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""1/2""",,"=""""","=""L18349c142""",
