wave flux error model intrinsic_lya
1.215182347719381596e+03 1.393829075529964683e-12 1.728432502228972624e-14 1.411534003427565879e-12 1.686430048653830340e-12
1.215235707479098892e+03 1.183256803296082419e-12 2.613841434356464261e-14 1.222403823187239452e-12 1.690989927380679324e-12
1.215289066892436722e+03 1.176529122681746701e-12 4.017348935166280722e-15 1.165588628297605290e-12 1.760621563928400279e-12
1.215342425959401908e+03 1.057885031099974971e-12 1.033527554038335346e-14 1.095272606933354712e-12 1.636121030736024873e-12
1.215395784680001498e+03 7.263755192544587207e-13 1.010936296261700357e-14 7.756749906038512766e-13 1.334322845590012522e-12
1.215449143054242541e+03 3.622576722728286708e-13 5.871574462590082058e-15 3.511348220674834199e-13 9.953459750764537167e-13
1.215502501082130948e+03 1.772384929465059637e-13 6.509126474803234393e-15 1.339700110707807029e-13 6.994242806563065746e-13
1.215555858763673996e+03 8.695988959697604722e-14 3.920977003391984168e-15 6.339607419193904687e-14 4.718878013626793515e-13
1.215609216098878051e+03 5.496091791055502407e-14 4.551896265497979837e-15 3.432262697413927102e-14 3.113694076337611598e-13
1.215662573087750161e+03 3.943897866007902927e-14 2.372515510705684362e-15 1.909503386432981442e-14 2.047774823347694939e-13
1.215715929730296921e+03 2.457642397177368390e-14 4.242982446645809702e-15 1.663622792263260843e-14 1.366219579972286277e-13
1.215769286026525606e+03 3.077225291521084054e-14 2.752360943726161065e-15 2.770228454858229245e-14 9.384292799379817491e-14
1.215822641976441901e+03 4.648909957584363122e-14 3.286081543466141282e-15 3.236414260835208622e-14 6.705861564849750577e-14
1.215875997580053763e+03 3.827528790436324169e-14 5.660712439788550558e-15 3.107218048493979559e-14 5.009057983922596411e-14
1.215929352837366878e+03 3.421018506270788965e-14 2.198634872009058631e-15 2.834037191304174974e-14 3.907743848595418612e-14
1.215982707748388520e+03 2.953284562840196527e-14 6.904896684893493769e-16 2.550770502794807635e-14 3.166975717912355208e-14
1.216036062313125512e+03 2.247174462739792430e-14 4.065718412497875613e-15 2.284026505642282501e-14 2.646687287707252570e-14
1.216089416531584220e+03 2.156922371896608181e-14 2.962182669252831831e-15 2.041582255381215694e-14 2.264436486607048516e-14
1.216142770403771465e+03 1.635133577868445802e-14 1.687844693155234744e-15 1.827022532430121156e-14 1.971696287319654908e-14
1.216196123929694522e+03 1.713318872980494356e-14 7.418791386710275238e-16 1.640332471334788862e-14 1.739529703327047514e-14
1.216249477109359987e+03 1.495160660802033602e-14 1.611040432158628100e-15 1.478924606597498650e-14 1.550230374921609984e-14
1.216302829942773769e+03 1.196983112202007920e-14 9.852941043727381711e-16 1.339419641104135838e-14 1.392560787996872233e-14
1.216356182429943601e+03 1.212502766009447729e-14 1.859223877730399802e-15 1.218330188676926615e-14 1.259077637721010399e-14
1.216409534570875167e+03 1.232109740301670138e-14 1.632500022257918899e-15 1.112727788170650338e-14 1.144631466928417062e-14
1.216462886365576878e+03 8.637442800090844906e-15 1.175264539144881940e-15 1.020114299018798653e-14 1.045514170397669300e-14
1.216516237814053511e+03 5.897748296821697111e-15 4.294020299942951210e-16 9.384553972878175472e-15 9.589621338569453177e-15
1.216569588916313023e+03 5.771637110838876830e-15 8.322261102441872847e-16 8.661000831856375064e-15 8.828565313508296231e-15
1.216622939672362008e+03 7.596673859817195426e-15 1.070073370145150639e-15 8.016982808248410731e-15 8.155353812714513353e-15
1.216676290082206833e+03 6.268160888395655232e-15 1.143105105629202799e-15 7.441371726246382232e-15 7.556709289786381801e-15
1.216729640145854773e+03 6.382276120364611464e-15 1.350174552322017573e-15 6.924917507903616518e-15 7.021865925000240399e-15
1.216782989863311968e+03 4.571214814075516849e-15 1.242570589095239144e-15 6.459875218133453765e-15 6.541987720690041134e-15
1.216836339234585921e+03 3.081482154912123397e-15 1.019246426677793351e-15 6.039719534902382743e-15 6.109748622604135342e-15
1.216889688259682544e+03 3.046719565293528057e-15 5.168048763059158868e-16 5.658918764106945050e-15 5.719021861724827853e-15
1.216943036938609112e+03 3.032386189179226370e-15 1.227302198187858550e-15 5.312760099175323975e-15 5.364645204702523105e-15
1.216996385271372219e+03 4.369731278977456284e-15 6.405664235531156287e-16 4.997082385956318624e-15 5.042113927590680236e-15
1.217049733257978232e+03 1.789890613500427749e-15 5.410464982492932449e-16 4.708257683411568745e-15 4.747534879903316384e-15
1.217103080898434655e+03 1.972024190142132698e-15 2.764646872240976772e-16 4.442587852056010413e-15 4.477000168928124935e-15
1.217156428192747398e+03 2.225704176472449796e-15 2.764646872240976772e-16 4.195921680502507794e-15 4.226189416413500154e-15
1.217209775140924194e+03 1.189027086212100605e-15 8.760297251199043018e-16 3.962560682908095612e-15 3.989260032427341233e-15
1.217263121742970725e+03 1.724986537991129894e-15 5.828996901087178735e-16 3.734876466581175743e-15 3.758455934098002913e-15
1.217316467998894495e+03 2.982583876068775313e-15 6.901286460798576730e-16 3.503884356748393895e-15 3.524678740436915094e-15
1.217369813908701417e+03 7.609887883443529189e-16 3.170521158141436097e-16 3.261549482412702691e-15 3.279800192565378950e-15
1.217423159472399220e+03 9.843097346502065146e-16 7.479125929654964519e-16 2.961802934483464914e-15 2.977496181336853253e-15
1.217476504689994499e+03 3.124730324462709337e-15 2.764646872240976772e-16 2.275497517171135377e-15 2.287083970129167055e-15
