# wave,continuum_fit,LyA_intrinsic_profile_bestfit,LyA_intrinsic_lower_errorbar_1sig,LyA_intrinsic_upper_errorbar_1sig
1.214020385970212601e+03,-1.518141568552155033e-16,3.515547415623267724e-19,-1.370227817256849783e-20,4.087088752044722173e-19
1.214073565616412907e+03,-1.516888836818091964e-16,4.712501806247889965e-19,-1.834796937576647684e-20,5.469292548819715661e-19
1.214126744971992139e+03,-1.515636111930067542e-16,5.409883945899992800e-19,-2.099294159474854795e-20,6.266574016121008365e-19
1.214179924036955981e+03,-1.514383393887959493e-16,6.088774082482800023e-19,-2.352403660099680212e-20,7.041023776073911441e-19
1.214233102811308981e+03,-1.513130682691657378e-16,6.829176635693272154e-19,-2.630099994101569887e-20,7.881692582877073445e-19
1.214286281295055460e+03,-1.511877978341050755e-16,7.660751276556238950e-19,-2.943538257271309200e-20,8.817094102828219779e-19
1.214339459488200646e+03,-1.510625280836025239e-16,8.619830132783255763e-19,-3.281610209064370525e-20,9.912739206218727565e-19
1.214392637390749542e+03,-1.509372590176470391e-16,9.747013407611078838e-19,-3.708705183338437311e-20,1.120191690231792894e-18
1.214445815002706240e+03,-1.508119906362271825e-16,1.108693821588100137e-18,-4.172300062055819893e-20,1.276355527594248888e-18
1.214498992324075516e+03,-1.506867229393319101e-16,1.269116628360522827e-18,-4.720266633750348446e-20,1.467210489288396594e-18
1.214552169354862826e+03,-1.505614559269505722e-16,1.465438781568979940e-18,-5.617948602099969892e-20,1.704760562902185080e-18
1.214605346095072036e+03,-1.504361895990713360e-16,1.745900077660343665e-18,-7.096417993032600909e-20,2.003655086122787300e-18
1.214658522544709058e+03,-1.503109239556819740e-16,2.375844999040435537e-18,-8.783188303202888295e-20,2.426008256062070817e-18
1.214711698703777301e+03,-1.501856589967734145e-16,4.195756745688965646e-18,-6.464525768311876635e-20,3.273552473848071668e-18
1.214764874572282679e+03,-1.500603947223326411e-16,9.293750414157072355e-18,1.463886201822683462e-19,5.374490966008165349e-18
1.214818050150229055e+03,-1.499351311323497932e-16,2.282912119622643410e-17,1.067061144137325867e-18,1.020423700420737002e-17
1.214871225437621433e+03,-1.498098682268130378e-16,5.567610243902308449e-17,6.155686702620424150e-18,1.715655094476015465e-17
1.214924400434465497e+03,-1.496846060057105420e-16,1.265675804617091655e-16,1.772367775696232957e-17,3.888597197975095357e-17
1.214977575140765111e+03,-1.495593444690312617e-16,2.620988103614506201e-16,3.956703696470823769e-17,8.241538546628178609e-17
1.215030749556525052e+03,-1.494340836167649418e-16,5.067697149144161856e-16,7.595101671073795485e-17,1.573946519807174491e-16
1.215083923681750093e+03,-1.493088234489001438e-16,1.030647103746835112e-15,1.451935058227223243e-16,2.852094152487870679e-16
1.215137097516445237e+03,-1.491835639654250347e-16,2.466651102425000387e-15,3.556455662722012874e-16,6.263683620645068315e-16
1.215190271060615032e+03,-1.490583051663285705e-16,5.715386612254134329e-15,1.005448905654082440e-15,1.745886340375610918e-15
1.215243444314264480e+03,-1.489330470515997072e-16,9.450719729241068393e-15,2.054918625671047804e-15,3.700989300834974106e-15
1.215296617277398582e+03,-1.488077896212266118e-16,9.567797924224944323e-15,2.293603452404598126e-15,4.236039985298938942e-15
1.215349789950021204e+03,-1.486825328751986348e-16,5.910675625739103535e-15,1.470261074813702762e-15,2.736317030325954172e-15
1.215402962332137349e+03,-1.485572768135055209e-16,2.576458214629134782e-15,6.505716881563921580e-16,1.258322304780668154e-15
1.215456134423752701e+03,-1.484320214361342539e-16,1.070645915873703388e-15,2.547255862119964341e-16,5.327612813307818902e-16
1.215509306224871125e+03,-1.483067667430745786e-16,5.229175208743367235e-16,1.185788728205128072e-16,2.560154977905895254e-16
1.215562477735498078e+03,-1.481815127343146621e-16,2.707711713309477254e-16,6.178849581577909645e-17,1.332095921908199444e-16
1.215615648955637198e+03,-1.480562594098446437e-16,1.313281527847326813e-16,2.731542362713569424e-17,6.697207587312547673e-17
1.215668819885294397e+03,-1.479310067696515072e-16,5.801388135565388766e-17,9.187632948175332555e-18,3.774429020750786641e-17
1.215721990524473767e+03,-1.478057548137253917e-16,2.384262156827798293e-17,3.306101852565610259e-18,2.206431382507481188e-17
1.215775160873180084e+03,-1.476805035420552533e-16,9.688525004029203206e-18,9.794504339644709211e-19,9.633992717107797253e-18
1.215828330931418350e+03,-1.475552529546284701e-16,4.339836835786558827e-18,1.991298777191001354e-19,4.788485651627553683e-18
1.215881500699193566e+03,-1.474300030514347870e-16,2.425872981378178379e-18,-9.267974544512306687e-21,2.939280230663474081e-18
1.215934670176510053e+03,-1.473047538324627655e-16,1.764417320738717453e-18,-4.394925639372846571e-20,2.201739732909207396e-18
1.215987839363372814e+03,-1.471795052977009671e-16,1.476331779841020210e-18,-3.965351599606445385e-20,1.820713277558614549e-18
1.216041008259786167e+03,-1.470542574471395311e-16,1.277762350366022041e-18,-3.374393238992631046e-20,1.556497660385565352e-18
1.216094176865755571e+03,-1.469290102807650467e-16,1.115961054221085754e-18,-3.036024060634063703e-20,1.349829292463014256e-18
1.216147345181285345e+03,-1.468037637985680477e-16,9.810110188991592520e-19,-2.718012938228411975e-20,1.182560342770138867e-18
1.216200513206380492e+03,-1.466785180005363068e-16,8.679022134134798572e-19,-2.451831192762610134e-20,1.044709298664313311e-18
1.216253680941045332e+03,-1.465532728866587798e-16,7.726171738898042006e-19,-2.222275923664545113e-20,9.291065460100253670e-19
1.216306848385285093e+03,-1.464280284569248172e-16,6.918482522720948479e-19,-2.014774300694075038e-20,8.322290069751809121e-19
