,LyA_intrinsic_profile_bestfit,LyA_intrinsic_profile_high_1sig,LyA_intrinsic_profile_high_2sig,LyA_intrinsic_profile_low_1sig,LyA_intrinsic_profile_low_2sig,LyA_intrinsic_profile_median,LyA_model_high_1sig,LyA_model_high_2sig,LyA_model_low_1sig,LyA_model_low_2sig,LyA_model_median,cont,error,flux,model_best_fit,wave,LyA_intrinsic_flux_bestfit,LyA_intrinsic_flux_high_1sig,LyA_intrinsic_flux_high_2sig,LyA_intrinsic_flux_low_1sig,LyA_intrinsic_flux_low_2sig,LyA_intrinsic_flux_median
37,1.4763317798410204e-18,3.297045057399635e-18,1.1000382912653317e-16,1.5159852958370847e-18,1.2109437049676097e-18,2.0862049949209764e-18,1.5840795556087985e-18,4.1067256392437024e-18,8.43005938446749e-19,6.560228930135706e-19,1.0996658967811317e-18,-1.4717950529770097e-16,5.204213311702933e-17,-2.6460434122648766e-16,8.195832437551076e-19,1215.9878393633728,,,,,,
38,1.2777623503660222e-18,2.8342600107515874e-18,1.0814444216075241e-16,1.3115062827559485e-18,1.0506131086342747e-18,1.800032225568291e-18,1.6268854735614303e-18,9.642036379821777e-18,8.533369068581084e-19,6.87564133871205e-19,1.1157081793945082e-18,-1.4705425744713953e-16,5.204213311702933e-17,-1.5724737787479173e-16,8.238444037080176e-19,1216.0410082597862,,,,,,
39,1.1159610542210858e-18,2.4657903466841e-18,1.055843127018767e-16,1.1463212948274264e-18,9.194806304796257e-19,1.5696024023732846e-18,1.6074097778631285e-18,2.2192099547954167e-17,8.273846088199607e-19,6.758059878294583e-19,1.0883249907497126e-18,-1.4692901028076505e-16,5.204213311702933e-17,-1.3369749483418887e-16,7.971753159322513e-19,1216.0941768657556,,,,,,
40,9.810110188991594e-19,2.163571361669298e-18,1.0227519334061914e-16,1.0081911482814434e-18,8.103789173620412e-19,1.378932113845774e-18,1.5441004910378894e-18,3.5489954717065096e-17,7.832215362935596e-19,6.418324633528621e-19,1.0362001772013519e-18,-1.4680376379856805e-16,5.204213311702933e-17,1.188586018633041e-16,7.538688447975478e-19,1216.1473451812853,,,,,,
41,8.679022134134799e-19,1.912611512077793e-18,9.866050018914568e-17,8.92420525341106e-19,7.177262938084728e-19,1.2197982156634435e-18,1.4558208141159958e-18,4.600209831654017e-17,7.3087493164625005e-19,5.984325139501688e-19,9.70257297354112e-19,-1.466785180005363e-16,5.204213311702933e-17,6.600316945429498e-17,7.032649431814834e-19,1216.2005132063803,,,,,,
42,7.726171738898042e-19,1.7017237198998296e-18,9.466986748240788e-17,7.948399331264497e-19,6.396099915900275e-19,1.0861280777473295e-18,1.3596480965295268e-18,5.334806308043542e-17,6.76113037978121e-19,5.540349022816748e-19,9.007339503674893e-19,-1.4655327288665878e-16,5.204213311702933e-17,7.55644386657687e-17,6.50991397990349e-19,1216.2536809410453,,,,,,
43,6.918482522720949e-19,1.5240772592472761e-18,9.048008178696926e-17,7.119959952790356e-19,5.730527113068139e-19,9.72936781197911e-19,1.2627791716157822e-18,5.796958472461135e-17,6.232602686866305e-19,5.094401695901253e-19,8.326548301716545e-19,-1.4642802845692482e-16,5.204213311702933e-17,1.721133370966317e-17,6.002403070866027e-19,1216.306848385285,,,,,,
44,6.229242593501083e-19,1.372545406628793e-18,8.593426337943887e-17,6.413942884049436e-19,5.163841252280785e-19,8.7627025569928e-19,1.171591185384676e-18,6.036973131289215e-17,5.737121529191722e-19,4.682794077313569e-19,7.683249110740734e-19,-1.4630278471132259e-16,5.204213311702933e-17,6.280621498196103e-17,5.526447504690714e-19,1216.3600155391043,,,,,,
45,5.637110422436317e-19,1.2419353103362648e-18,8.106473993775877e-17,5.806526103135914e-19,4.675379539536027e-19,7.933974691209386e-19,1.0844013078790657e-18,6.067383661656856e-17,5.282505553334163e-19,4.3043900914889116e-19,7.087428626004588e-19,-1.4617754164984223e-16,5.204213311702933e-17,8.387867558506228e-18,5.088744147812995e-19,1216.4131824025076,,,,,,
46,5.12507720448093e-19,1.1292327323000046e-18,7.619260150336616e-17,5.282217771835288e-19,4.254019540665774e-19,7.21690575905678e-19,1.0044902110848967e-18,6.015484078639515e-17,4.866012579615915e-19,3.962582424187727e-19,6.547459525367499e-19,-1.4605229927247033e-16,5.204213311702933e-17,7.891351862460174e-17,4.690688520110305e-19,1216.4663489755,,,,,,
47,4.679460606525871e-19,1.031103370856445e-18,7.129537631154096e-17,4.82554809324474e-19,3.885779256662192e-19,6.591528533642752e-19,9.304957822847478e-19,5.88102942606537e-17,4.4906641112750855e-19,3.655388876874573e-19,6.053626187588933e-19,-1.4592705757919702e-16,5.204213311702933e-17,-3.1940757120826506e-17,4.330711150554413e-19,1216.5195152580864,,,,,,
48,4.289237321645641e-19,9.451358939711219e-19,6.668174225980862e-17,4.424451600098173e-19,3.5632376646734697e-19,6.043359197251692e-19,8.634978745016015e-19,5.654940786809785e-17,4.154002014208603e-19,3.375073215206922e-19,5.605021909029168e-19,-1.4580181657001128e-16,5.204213311702933e-17,3.787527707926265e-17,4.00588288599871e-19,1216.572681250271,,,,,,
49,3.945072133135403e-19,8.697723428010444e-19,6.209855792162002e-17,4.0715725730776934e-19,3.2785869651407735e-19,5.560529554675413e-19,8.022206849428311e-19,5.393947758129225e-17,3.8494807873062256e-19,3.125902715558793e-19,5.201356193531882e-19,-1.4567657624490086e-16,5.204213311702933e-17,5.2952020732248816e-17,3.712401598316479e-19,1216.6258469520592,,,,,,
50,3.638639075925383e-19,8.024888258483652e-19,5.763247627249767e-17,3.756276507245536e-19,3.02480772755736e-19,5.130110734857799e-19,7.466631339100446e-19,5.096741510325261e-17,3.5726182789607385e-19,2.899480682642666e-19,4.832709560982883e-19,-1.4555133660385551e-16,5.204213311702933e-17,9.875367181827928e-17,3.4458032808512264e-19,1216.6790123634553,,,,,,
51,3.3614972515709455e-19,7.417295947064378e-19,5.3340358196325116e-17,3.4711474464074935e-19,2.794861821408532e-19,4.740017777278825e-19,6.947475731297691e-19,4.7820957092125287e-17,3.317821364939093e-19,2.6906632088347806e-19,4.492700462308856e-19,-1.454260976468642e-16,5.204213311702933e-17,8.689685574868473e-17,3.200428252641676e-19,1216.732177484464,,,,,,
52,3.1045884694707695e-19,6.853067310990298e-19,4.9142094755434033e-17,3.2069408355976465e-19,2.581861022936444e-19,4.379148315745097e-19,6.454377008924204e-19,4.462452718097053e-17,3.078096858152372e-19,2.4932770827450837e-19,4.171682618631942e-19,-1.4530085937391468e-16,5.204213311702933e-17,-4.728158827263395e-18,2.9692823999170004e-19,1216.7853423150905,,,,,,
53,2.85851638049784e-19,6.31116559648424e-19,4.4992322861504896e-17,2.9534256303285325e-19,2.377986574758609e-19,4.0337594732157375e-19,5.975792200277918e-19,4.131495452286681e-17,2.845111633459788e-19,2.302809469755926e-19,3.858628518492189e-19,-1.4517562178499671e-16,5.204213311702933e-17,1.5557697919957618e-18,2.744532083248778e-19,1216.8385068553391,,,,,,
54,2.615173114334188e-19,5.775663109976233e-19,4.081379715257933e-17,2.7025963391199944e-19,2.1761729390513486e-19,3.6913256827696175e-19,5.493929903982221e-19,3.7867076001698914e-17,2.6120714519374736e-19,2.1118928669646993e-19,3.543905455712815e-19,-1.4505038488009767e-16,5.204213311702933e-17,2.5057238567637532e-17,2.519239573416211e-19,1216.8916711052152,,,,,,
55,2.3380254704013366e-19,5.1666686011559035e-19,3.619724034788524e-17,2.416589572690762e-19,1.945456961810291e-19,3.300509063606761e-19,4.931304696476105e-19,3.376680648300216e-17,2.341454245534115e-19,1.892433455147887e-19,3.178072705603437e-19,-1.4492514865920848e-16,5.204213311702933e-17,6.768479609386369e-17,2.2585771098113533e-19,1216.9448350647228,,,,,,
56,1.7763875987420363e-19,3.9256810246852853e-19,2.7262309282672165e-17,1.8364669532024433e-19,1.4783917079249945e-19,2.5081740989775164e-19,3.7562013403040615e-19,2.5530288541966843e-17,1.7824416571167898e-19,1.440041683604465e-19,2.4203554893383124e-19,-1.4479991312231651e-16,5.204213311702933e-17,6.64416459386857e-17,1.7192785913737328e-19,1216.997998733867,,,,,,
