col0 col1
2700.0 0.0
2700.1 0.0
2700.2 0.0
2700.2999999999997 0.0
2700.3999999999996 0.0
2700.4999999999995 0.0
2700.5999999999995 0.0
2700.6999999999994 0.0
2700.7999999999993 0.0
2700.899999999999 0.0
2700.999999999999 0.0
2701.099999999999 0.0
2701.199999999999 0.0
2701.299999999999 0.0
2701.3999999999987 0.0
2701.4999999999986 0.0
2701.5999999999985 0.0
2701.6999999999985 0.0
2701.7999999999984 0.0
2701.8999999999983 0.0
2701.999999999998 0.0
2702.099999999998 0.0
2702.199999999998 0.0
2702.299999999998 0.0
2702.399999999998 0.0
2702.4999999999977 0.0
2702.5999999999976 0.0
2702.6999999999975 0.0
2702.7999999999975 0.0
2702.8999999999974 0.0
2702.9999999999973 0.0
2703.099999999997 0.0
2703.199999999997 0.0
2703.299999999997 0.0
2703.399999999997 0.0
2703.499999999997 0.0
2703.5999999999967 0.0
2703.6999999999966 0.0
2703.7999999999965 0.0
2703.8999999999965 0.0
2703.9999999999964 0.0
2704.0999999999963 0.0
2704.199999999996 0.0
2704.299999999996 0.0
2704.399999999996 0.0
2704.499999999996 0.0
2704.599999999996 0.0
2704.6999999999957 0.0
2704.7999999999956 0.0
2704.8999999999955 0.0
2704.9999999999955 0.0
2705.0999999999954 0.0
2705.1999999999953 0.0
2705.299999999995 0.0
2705.399999999995 0.0
2705.499999999995 0.0
2705.599999999995 0.0
2705.699999999995 0.0
2705.7999999999947 0.0
2705.8999999999946 0.0
2705.9999999999945 0.0
2706.0999999999945 0.0
2706.1999999999944 0.0
2706.2999999999943 0.0
2706.399999999994 0.0
2706.499999999994 0.0
2706.599999999994 0.0
2706.699999999994 0.0
2706.799999999994 0.0
2706.8999999999937 0.0
2706.9999999999936 0.0
2707.0999999999935 0.0
2707.1999999999935 0.0
2707.2999999999934 0.0
2707.3999999999933 0.0
2707.499999999993 0.0
2707.599999999993 0.0
2707.699999999993 0.0
2707.799999999993 0.0
2707.899999999993 0.0
2707.9999999999927 0.0
2708.0999999999926 0.0
2708.1999999999925 0.0
2708.2999999999925 0.0
2708.3999999999924 0.0
2708.4999999999923 0.0
2708.599999999992 0.0
2708.699999999992 0.0
2708.799999999992 0.0
2708.899999999992 0.0
2708.999999999992 0.0
2709.0999999999917 0.0
2709.1999999999916 0.0
2709.2999999999915 0.0
2709.3999999999915 0.0
2709.4999999999914 0.0
2709.5999999999913 0.0
2709.699999999991 0.0
2709.799999999991 0.0
2709.899999999991 0.0
2709.999999999991 0.0
2710.099999999991 0.0
2710.1999999999907 0.0
2710.2999999999906 0.0
2710.3999999999905 0.0
2710.4999999999905 0.0
2710.5999999999904 0.0
2710.6999999999903 0.0
2710.79999999999 0.0
2710.89999999999 0.0
2710.99999999999 0.0
2711.09999999999 0.0
2711.19999999999 0.0
2711.2999999999897 0.0
2711.3999999999896 0.0
2711.4999999999895 0.0
2711.5999999999894 0.0
2711.6999999999894 0.0
2711.7999999999893 0.0
2711.899999999989 0.0
2711.999999999989 0.0
2712.099999999989 0.0
2712.199999999989 0.0
2712.299999999989 0.0
2712.3999999999887 0.0
2712.4999999999886 0.0
2712.5999999999885 0.0
2712.6999999999884 0.0
2712.7999999999884 0.0
2712.8999999999883 0.0
2712.999999999988 0.0
2713.099999999988 0.0
2713.199999999988 0.0
2713.299999999988 0.0
2713.399999999988 0.0
2713.4999999999877 0.0
2713.5999999999876 0.0
2713.6999999999875 0.0
2713.7999999999874 0.0
2713.8999999999874 0.0
2713.9999999999873 0.0
2714.099999999987 0.0
2714.199999999987 0.0
2714.299999999987 0.0
2714.399999999987 0.0
2714.499999999987 0.0
2714.5999999999867 0.0
2714.6999999999866 0.0
2714.7999999999865 0.0
