; COS G130M     1222 2019-03-04 Prop=   15071
       1067.3360      -3.3596114e-015       1.1069863e-016
       1067.3459      -3.3607761e-015       1.1144487e-016
       1067.3559      -3.4102762e-015       6.3838544e-017
       1067.3659      -3.4626200e-015       1.1531835e-016
       1067.3759       9.4475973e-015       1.2949661e-014
       1067.3858      -3.5402906e-015       3.6781665e-017
       1067.3958      -3.5422909e-015       3.6798076e-017
       1067.4058       9.4120571e-015       1.2842639e-014
       1067.4157      -3.4295242e-015       7.3927130e-017
       1067.4257      -3.3929735e-015       1.1241430e-016
       1067.4357       9.6085650e-015       1.2813989e-014
       1067.4456       9.6516844e-015       1.3160919e-014
       1067.4556      -3.3593789e-015       2.2748414e-016
       1067.4656      -3.3226592e-015       1.8905320e-016
       1067.4756      -3.3630916e-015       3.0485838e-016
       1067.4855      -3.4054264e-015       3.4319795e-016
       1067.4955       9.1727309e-015       1.2314867e-014
       1067.5055      -3.8950653e-015       2.2634118e-016
       1067.5154      -3.8526961e-015       2.7284011e-016
       1067.5254      -3.8565560e-015       2.7311328e-016
       1067.5354      -3.8128482e-015       3.1856009e-016
       1067.5454      -3.8067995e-015       3.2563155e-016
       1067.5553      -3.7128223e-015       2.3079329e-016
       1067.5653      -3.8065480e-015       3.2364187e-016
       1067.5753      -3.8066849e-015       3.2365362e-016
       1067.5852      -3.8068169e-015       3.2366050e-016
       1067.5952      -3.8069403e-015       3.2366664e-016
       1067.6052      -3.9002060e-015       3.2368348e-016
       1067.6151      -3.8512663e-015       5.5898690e-016
       1067.6251      -3.8039894e-015       5.1160366e-016
       1067.6351      -3.7567463e-015       4.6424754e-016
       1067.6451       9.1395565e-015       1.2525254e-014
       1067.6550      -3.8966363e-015       5.1082641e-016
       1067.6650      -3.8959175e-015       5.1168074e-016
       1067.6750       2.1923489e-014       2.6331229e-014
       1067.6849      -3.9883573e-015       4.1951573e-016
       1067.6949      -4.1280115e-015       4.6605807e-016
       1067.7049      -4.0800190e-015       5.1263175e-016
       1067.7148      -4.1266615e-015       4.6613960e-016
       1067.7248      -4.1741654e-015       4.2049659e-016
       1067.7348      -4.3092361e-015       5.5404552e-016
       1067.7448      -4.5106425e-015       3.5180476e-016
       1067.7547      -4.5600921e-015       4.0196753e-016
       1067.7647      -4.6597222e-015       4.0188241e-016
       1067.7747      -4.6078175e-015       4.5290661e-016
       1067.7846       8.3056330e-015       1.3465833e-014
       1067.7946      -4.6035724e-015       6.5604099e-016
       1067.8046       8.2488075e-015       1.3607783e-014
       1067.8145       8.2428836e-015       1.3600937e-014
       1067.8245      -4.6003094e-015       7.5682203e-016
       1067.8345      -4.5985995e-015       8.5772631e-016
       1067.8445      -4.5468530e-015       8.0663244e-016
       1067.8544      -4.4951043e-015       7.5554026e-016
       1067.8644       8.4203194e-015       1.2157453e-014
       1067.8744      -4.4908963e-015       7.5442006e-016
       1067.8843      -4.4392048e-015       8.0519333e-016
       1067.8943      -4.3367049e-015       7.0333000e-016
       1067.9043      -4.2851080e-015       7.5403921e-016
       1067.9142      -4.2834860e-015       8.5470696e-016
       1067.9242      -4.2827229e-015       8.5455185e-016
       1067.9342      -4.2819542e-015       8.5439599e-016
       1067.9442       2.1384222e-014       8.7278190e-016
       1067.9541       8.5511717e-015       1.2075566e-014
       1067.9641       8.5475141e-015       1.3581779e-014
       1067.9741       8.5453544e-015       1.3579804e-014
       1067.9840       8.4951954e-015       1.2018238e-014
       1067.9940      -4.2772722e-015       8.5562250e-016
       1068.0040      -4.3280887e-015       9.0631403e-016
       1068.0139      -4.2788412e-015       8.5589281e-016
       1068.0239      -4.1431808e-015       7.1905389e-016
       1068.0339      -3.9261646e-015       9.3401900e-016
       1068.0439      -3.8774161e-015       9.8073286e-016
       1068.0538      -3.7808868e-015       9.7955866e-016
       1068.0638      -3.7315040e-015       9.3293448e-016
       1068.0738      -3.7761494e-015       8.8632310e-016
       1068.0837      -3.7763725e-015       8.8776443e-016
       1068.0937      -3.7775953e-015       8.8795618e-016
       1068.1037      -3.7786878e-015       8.8817323e-016
       1068.1136      -3.6857420e-015       8.8839685e-016
       1068.1236       9.1627441e-015       1.1960870e-014
       1068.1336      -3.7332704e-015       7.4945369e-016
       1068.1436      -3.6402491e-015       6.5559577e-016
       1068.1535      -4.0232802e-015       9.4529735e-016
       1068.1635      -4.1545014e-015       5.9450447e-016
       1068.1735      -4.2077384e-015       6.4793214e-016
       1068.1834      -4.2591766e-015       4.8572024e-016
       1068.1934       8.5248428e-015       1.3267680e-014
       1068.2034      -4.2560411e-015       3.7790078e-016
       1068.2133       8.5149207e-015       1.3146878e-014
       1068.2233      -4.3072170e-015       4.3133353e-016
       1068.2333       8.5672245e-015       1.2334272e-014
       1068.2433      -4.1981629e-015       4.3131680e-016
       1068.2532       8.7194093e-015       1.3240142e-014
       1068.2632       8.7686770e-015       1.2209586e-014
       1068.2732      -3.9804870e-015       5.3976190e-016
       1068.2831       8.7764573e-015       1.3296464e-014
       1068.2931      -3.7623527e-015       7.5567187e-016
       1068.3031      -3.7079447e-015       7.0142502e-016
       1068.3130      -3.7610411e-015       6.4809318e-016
       1068.3230      -3.7599271e-015       6.4897049e-016
       1068.3330      -3.8129955e-015       7.0220514e-016
       1068.3430       8.9731019e-015       1.2083726e-014
       1068.3529       8.9682749e-015       1.2078732e-014
       1068.3629      -3.8114886e-015       5.9470437e-016
       1068.3729      -3.7030986e-015       4.8648649e-016
       1068.3828       9.0823775e-015       1.3163561e-014
       1068.3928       9.0139692e-015       1.2230237e-014
       1068.4028      -3.5934559e-015       3.7735964e-016
       1068.4127       9.3905346e-015       1.2823518e-014
       1068.4227      -3.1979157e-015       4.1757666e-016
       1068.4327      -3.1967249e-015       4.1742070e-016
       1068.4427       9.5242413e-015       1.3228824e-014
       1068.4526      -3.1935698e-015       4.1634401e-016
       1068.4626      -3.1923646e-015       4.1618043e-016
       1068.4726      -3.0983256e-015       3.2319389e-016
       1068.4825      -3.0970383e-015       3.2239705e-016
       1068.4925      -3.0957410e-015       3.2307647e-016
       1068.5025      -3.1409715e-015       3.6880799e-016
       1068.5124      -3.1404117e-015       3.6874309e-016
       1068.5224      -3.1855994e-015       4.1442357e-016
       1068.5324       9.7283288e-015       1.2847849e-014
       1068.5423      -2.8384079e-015       2.7891662e-016
       1068.5523      -2.7853388e-015       1.4839668e-016
       1068.5623      -2.5845282e-015       1.0288412e-016
       1068.5723       1.0223613e-014       1.2907066e-014
       1068.5822      -2.6457515e-015       1.8026322e-016
       1068.5922      -2.6805196e-015       2.1608636e-016
       1068.6022      -2.6064328e-015       2.1601013e-016
       1068.6121      -2.5329637e-015       1.4356065e-016
       1068.6221      -2.5333765e-015       1.4407215e-016
       1068.6321      -2.8060647e-015       4.1593489e-016
       1068.6420      -3.0055165e-015       2.1699788e-016
       1068.6520      -2.9182384e-015       1.2927438e-016
       1068.6620      -2.8748342e-015       1.7317239e-016
       1068.6720      -2.7875846e-015       2.6091918e-016
       1068.6819      -2.7441674e-015       3.0482704e-016
       1068.6919      -2.6130104e-015       2.6098345e-016
       1068.7019      -2.5695510e-015       2.1714907e-016
       1068.7118      -2.5260905e-015       2.6105386e-016
       1068.7218      -2.4826130e-015       3.0497771e-016
       1068.7318      -2.6226957e-015       3.5832363e-016
       1068.7417      -2.6332068e-015       2.6055485e-016
       1068.7517      -2.6377715e-015       2.6473348e-016
       1068.7617      -2.6463369e-015       3.6063815e-016
       1068.7717      -2.6502800e-015       2.6883502e-016
       1068.7816      -2.6672034e-015       2.6882962e-016
       1068.7916       9.9448850e-015       1.2897717e-014
       1068.8016      -2.8337019e-015       3.3085700e-016
       1068.8115       9.8299138e-015       1.2994302e-014
       1068.8215      -2.8997119e-015       2.8987659e-016
       1068.8315      -2.8995613e-015       2.8986653e-016
       1068.8414      -2.9574293e-015       3.4787834e-016
       1068.8514      -3.0301820e-015       3.0469448e-016
       1068.8614      -2.8343285e-015       2.0651857e-016
       1068.8714       8.2220811e-015       1.1228622e-014
       1068.8813      -2.9571621e-015       3.2962493e-016
       1068.8913       1.6555023e-014       9.9428266e-015
       1068.9013      -2.9672414e-015       2.8280267e-016
       1068.9112      -3.0078475e-015       3.2375369e-016
       1068.9212      -3.0484541e-015       3.0999728e-016
       1068.9312       8.1264702e-015       1.1184996e-014
       1068.9412      -2.8151749e-015       2.3577104e-016
       1068.9511      -2.6842210e-015       2.7612990e-016
       1068.9611      -2.6645607e-015       3.3434554e-016
       1068.9711      -2.6239255e-015       2.7983506e-016
       1068.9810      -2.6240498e-015       2.7984649e-016
       1068.9910      -2.6654164e-015       2.7390693e-016
       1069.0010      -2.6981486e-015       2.5638936e-016
       1069.0109      -2.6733353e-015       2.3146749e-016
       1069.0209       8.3652840e-015       1.1206953e-014
       1069.0309       5.7026166e-015       8.4932106e-015
       1069.0409      -2.7139188e-015       1.8471192e-016
       1069.0508       1.9410006e-014       2.2309159e-014
       1069.0608      -2.7472706e-015       2.0724222e-016
       1069.0708      -2.7486803e-015       2.0727520e-016
       1069.0807      -2.7499431e-015       2.0736966e-016
       1069.0907      -2.7855945e-015       2.4178147e-016
       1069.1007      -2.7875962e-015       2.4228617e-016
       1069.1106       5.5592889e-015       8.2084730e-015
       1069.1206      -2.9157095e-015       2.3583445e-016
       1069.1306       5.4531176e-015       8.1084499e-015
       1069.1406      -3.0898419e-015       2.8166824e-016
       1069.1505      -3.0956383e-015       2.3036073e-016
       1069.1605       5.3129799e-015       8.2129653e-015
       1069.1705      -3.1512491e-015       2.3030924e-016
       1069.1804       7.9357847e-015       1.0937765e-014
       1069.1904       7.8252021e-015       1.0891252e-014
       1069.2004      -3.1998492e-015       3.6313072e-016
       1069.2103       5.0760289e-015       8.7399631e-015
       1069.2203      -3.3658651e-015       3.6514633e-016
       1069.2303       4.9695863e-015       8.7382299e-015
       1069.2403      -3.9037003e-015       5.9361182e-016
       1069.2502       5.4175427e-015       9.9116630e-015
       1069.2602      -4.0508511e-015       4.4866398e-016
       1069.2702      -4.0512749e-015       4.4871291e-016
       1069.2801      -4.0170515e-015       4.3736673e-016
       1069.2901      -4.5451628e-015       7.0815716e-016
       1069.3001      -4.5789064e-015       6.7458334e-016
       1069.3100       6.1438799e-015       1.0466096e-014
       1069.3200       6.8511269e-015       1.1474568e-014
       1069.3300      -4.7230407e-015       6.2079177e-016
       1069.3400       6.1367972e-015       1.0455356e-014
       1069.3499       6.2410700e-015       1.0558948e-014
       1069.3599       7.3866077e-015       1.2376831e-014
       1069.3699       6.7005131e-015       1.0914221e-014
       1069.3798       7.1134911e-015       1.1962984e-014
       1069.3898      -4.4925361e-015       3.5499260e-016
       1069.3998      -4.1909078e-015       2.0507689e-016
       1069.4097      -4.1646029e-015       2.2499148e-016
       1069.4197       7.7895226e-015       1.1740375e-014
       1069.4297       7.3732564e-015       1.1793260e-014
       1069.4397       1.7933072e-014       1.0690149e-014
       1069.4496      -4.0887114e-015       3.6261378e-016
       1069.4596      -4.1218656e-015       3.3150013e-016
       1069.4696      -4.1653101e-015       3.4680334e-016
       1069.4795      -4.2438714e-015       3.6535655e-016
       1069.4895      -4.2064922e-015       3.9028025e-016
       1069.4995       1.7948604e-014       1.1450340e-014
       1069.5094      -4.2481481e-015       4.2209272e-016
       1069.5194       6.3078956e-015       1.0705171e-014
       1069.5294      -4.1519473e-015       3.3063723e-016
       1069.5394      -4.1036781e-015       2.8538949e-016
       1069.5493       6.7389861e-015       1.0560697e-014
       1069.5593      -4.1451987e-015       3.4500202e-016
       1069.5693      -4.1080811e-015       3.4401917e-016
       1069.5792      -4.0364497e-015       3.7882973e-016
       1069.5892      -4.0800815e-015       4.2380784e-016
       1069.5992      -3.5836611e-015       2.6523575e-016
       1069.6091      -3.6112422e-015       2.3958607e-016
       1069.6191      -3.4187227e-015       3.0573486e-016
       1069.6291      -3.5222119e-015       3.7036298e-016
       1069.6391      -3.4429521e-015       2.9409355e-016
       1069.6490      -3.4898607e-015       2.0843825e-016
       1069.6590      -3.5466273e-015       1.8033618e-016
       1069.6690      -3.5747684e-015       1.6157612e-016
       1069.6789      -3.5737299e-015       1.6150297e-016
       1069.6889      -3.6106732e-015       1.9894884e-016
       1069.6989      -3.5999497e-015       1.5173964e-016
       1069.7088       6.1821976e-015       9.8348335e-015
       1069.7188       4.7408155e-015       8.2856115e-015
       1069.7288      -3.3868996e-015       7.7908489e-017
       1069.7388      -3.3100338e-015       7.3247677e-017
       1069.7487      -3.3051359e-015       7.2719423e-017
       1069.7587      -3.2687452e-015       7.7486852e-017
       1069.7687       7.5043397e-015       1.0690292e-014
       1069.7786      -3.2203566e-015       1.3350455e-016
       1069.7886      -3.1773787e-015       1.3616753e-016
       1069.7986      -3.1335829e-015       1.4267946e-016
       1069.8085       1.3251602e-014       8.3330729e-015
       1069.8185      -3.0190100e-015       1.4177359e-016
       1069.8285      -3.0468053e-015       1.3440717e-016
       1069.8385      -3.0066944e-015       1.6666598e-016
       1069.8484      -2.9174920e-015       1.4381875e-016
       1069.8584      -2.9827750e-015       1.7548355e-016
       1069.8684      -3.0060701e-015       2.2005570e-016
       1069.8783      -2.9231165e-015       2.9178657e-016
       1069.8883       7.7649582e-015       1.0492073e-014
       1069.8983      -2.9400977e-015       2.6614113e-016
       1069.9082       7.7586666e-015       1.0491054e-014
       1069.9182      -2.9049978e-015       2.4742716e-016
       1069.9282       7.7822327e-015       1.0538083e-014
       1069.9382      -3.0007984e-015       2.2782632e-016
       1069.9481       7.7185013e-015       1.0456335e-014
       1069.9581       5.3253665e-015       8.5271540e-015
       1069.9681      -2.8567791e-015       3.6453296e-016
       1069.9780      -2.7938813e-015       3.0850670e-016
       1069.9880      -2.8593058e-015       4.3113224e-016
       1069.9980      -2.8755502e-015       4.2985683e-016
       1070.0079       7.8142856e-015       1.0348772e-014
       1070.0179       5.2140724e-015       8.5323682e-015
       1070.0279      -2.9539546e-015       4.3795739e-016
       1070.0378       7.2908460e-015       1.0081727e-014
       1070.0478      -3.4489073e-015       6.5948466e-016
       1070.0578       1.2634763e-014       1.6706621e-014
       1070.0678      -3.6470989e-015       5.8128551e-016
       1070.0777      -3.7391017e-015       5.1836730e-016
       1070.0877      -3.7272236e-015       5.2535308e-016
       1070.0977       4.4312636e-015       8.4419367e-015
       1070.1076       4.4698084e-015       8.2626137e-015
       1070.1176      -3.6599507e-015       4.5877151e-016
       1070.1276      -3.6973203e-015       4.9606784e-016
       1070.1375      -3.5400860e-015       4.4243495e-016
       1070.1475      -3.4985535e-015       4.5588172e-016
       1070.1575      -3.5260627e-015       4.4461774e-016
       1070.1675       4.6355934e-015       8.3922348e-015
       1070.1774      -3.4699950e-015       4.6320682e-016
       1070.1874      -3.4674224e-015       4.6286471e-016
       1070.1974      -3.4549738e-015       4.0544019e-016
       1070.2073      -3.4465234e-015       4.1611605e-016
       1070.2173       4.7212116e-015       8.2436945e-015
       1070.2273      -3.4351706e-015       4.3114280e-016
       1070.2372       7.1746484e-015       1.0154195e-014
       1070.2472      -3.4026497e-015       4.5317472e-016
       1070.2572      -3.5098483e-015       5.0543016e-016
       1070.2672      -3.3582819e-015       4.2967797e-016
       1070.2771      -3.4498858e-015       4.2018245e-016
       1070.2871      -3.3600889e-015       3.9305853e-016
       1070.2971      -3.3586116e-015       3.9301643e-016
       1070.3070       1.2823566e-014       1.6342236e-014
       1070.3170      -3.4452760e-015       4.0018070e-016
       1070.3270      -3.4985702e-015       3.7243741e-016
       1070.3369      -3.4687821e-015       3.8559300e-016
       1070.3469      -3.5288933e-015       3.5800914e-016
       1070.3569      -3.6131236e-015       3.1204091e-016
       1070.3669      -3.6111804e-015       3.1187317e-016
       1070.3768       6.8889203e-015       1.0189544e-014
       1070.3868       4.3742123e-015       8.3049362e-015
       1070.3968      -3.6105811e-015       3.1516537e-016
       1070.4067      -3.6354753e-015       2.9605803e-016
