wave,flux,error,best_fit_model,best_fit_intrinsic,model_low_2sig,model_low_1sig,model_high_1sig,model_high_2sig,intrinsic_low_2sig,intrinsic_low_1sig,intrinsic_high_1sig,intrinsic_high_2sig
1.216729640145854773e+03,6.382276120364620930e-15,1.350174552322017573e-15,6.785618282753333924e-15,6.876981171327509886e-15,6.649793921025267935e-15,6.717213878414282529e-15,6.855868396542925361e-15,6.922769355595976915e-15,6.737888604287730165e-15,6.806836545930390258e-15,6.949164218659662536e-15,7.017728157160873905e-15
1.216782989863311968e+03,4.571214814075526315e-15,1.242570589095239144e-15,6.332020317968980406e-15,6.409552591494256894e-15,6.205506613153547152e-15,6.268262331741969151e-15,6.397437900131738649e-15,6.459846395521750334e-15,6.280244316665533546e-15,6.344348684957893837e-15,6.476596751446320618e-15,6.540328711367630554e-15
1.216836339234585921e+03,3.081482154912136019e-15,1.019246426677793351e-15,5.922085925730200320e-15,5.988324204884905471e-15,5.803970956487649027e-15,5.862561504782271311e-15,5.983166755342821147e-15,6.041455673708594614e-15,5.867767434519500050e-15,5.927550284459543305e-15,6.050777157494362998e-15,6.110174636780023217e-15
1.216889688259682544e+03,3.046719565293537523e-15,5.168048763059158868e-16,5.550461654528552630e-15,5.607367258513346601e-15,5.439910600215411454e-15,5.494708115292884376e-15,5.607583526848202942e-15,5.662241867735578658e-15,5.494735151532720361e-15,5.550577990118107393e-15,5.665691760672641626e-15,5.721183736623525173e-15
1.216943036938609112e+03,3.032386189179235836e-15,1.227302198187858550e-15,5.212504263245467853e-15,5.261696554303199276e-15,5.108825583930634983e-15,5.160183541794449826e-15,5.266129126499718062e-15,5.317347947714146832e-15,5.156206636801562706e-15,5.208494262547075252e-15,5.316293834604676115e-15,5.368280318294196836e-15
1.216996385271372219e+03,4.369731278977468906e-15,6.405664235531156287e-16,4.904213340940027421e-15,4.946953030867209679e-15,4.806792853611733820e-15,4.855056850116214421e-15,4.954632967127184007e-15,5.002726596656094119e-15,4.847936338921595107e-15,4.897002993531758623e-15,4.998170688361255456e-15,5.046989992964175219e-15
1.217049733257978232e+03,1.789890613500437216e-15,5.410464982492932449e-16,4.622049865106429426e-15,4.659359425801803105e-15,4.530336018011953863e-15,4.575783503042238666e-15,4.669559645732155372e-15,4.714873376330590836e-15,4.566272696832848354e-15,4.612389735031262598e-15,4.707523401212143750e-15,4.753451457737555300e-15
1.217103080898434655e+03,1.972024190142142164e-15,2.764646872240976772e-16,4.362395047389431433e-15,4.395134279650156860e-15,4.275920504164014297e-15,4.318792271809864346e-15,4.407236466965881655e-15,4.449982620780618200e-15,4.307509136141771059e-15,4.350905165902767307e-15,4.440511415289082605e-15,4.483803186468325170e-15
1.217156428192747398e+03,2.225704176472459263e-15,2.764646872240976772e-16,4.121227845838868088e-15,4.150056229205244056e-15,4.039625576101102837e-15,4.080082753093850273e-15,4.163541559375966376e-15,4.203929726242812992e-15,4.067457925347268019e-15,4.108384089609903516e-15,4.192874328457041555e-15,4.233719684610714254e-15
1.217209775140924194e+03,1.189027086212113227e-15,8.760297251199043018e-16,3.892979168872266297e-15,3.918421376767106831e-15,3.815961436920541358e-15,3.854153138135998150e-15,3.932927695776612472e-15,3.971110858717610156e-15,3.840542279156413711e-15,3.879150128323462228e-15,3.958831434835508516e-15,3.997352713679473336e-15
1.217263121742970725e+03,1.724986537991139360e-15,5.828996901087178735e-16,3.670144282992592097e-15,3.692630068283023137e-15,3.597627020361640454e-15,3.633594999329423098e-15,3.707814086769768271e-15,3.743774654127728533e-15,3.619321610510999163e-15,3.655683967188436180e-15,3.730687124067688297e-15,3.766968303942859396e-15
1.217316467998894495e+03,2.982583876068784780e-15,6.901286460798576730e-16,3.443908769525591092e-15,3.463756455883667343e-15,3.375955003570557068e-15,3.409646639752819813e-15,3.479234199631101394e-15,3.513000977735469765e-15,3.395056265755553100e-15,3.429144588956361384e-15,3.499437782744295951e-15,3.533463046350188170e-15
1.217369813908701417e+03,7.609887883443623853e-16,3.170521158141436097e-16,3.206376411949018626e-15,3.223815309412363755e-15,3.143118260988273110e-15,3.174508923365940290e-15,3.239267211746868564e-15,3.270707210436525215e-15,3.159945210794462288e-15,3.191635659485594772e-15,3.257015662645513097e-15,3.288684895871148891e-15
1.217423159472399220e+03,9.843097346502191364e-16,7.479125929654964519e-16,2.912256495913446846e-15,2.927255673109157357e-15,2.854840566029503277e-15,2.883312172502233572e-15,2.942111262676394195e-15,2.970692907011654501e-15,2.869333942597003963e-15,2.898063558143502388e-15,2.957401265396360069e-15,2.986147083908539102e-15
1.217476504689994499e+03,3.124730324462718803e-15,2.764646872240976772e-16,2.237734012644892296e-15,2.248819773010145074e-15,2.193622067507423140e-15,2.215506935519678828e-15,2.260677762825441701e-15,2.282628593205272448e-15,2.204350368869146147e-15,2.226405825066358767e-15,2.271973048670461680e-15,2.294049866054925444e-15
