,lya_model_low_2sig,lya_model_low_1sig,lya_model_median,lya_model_high_1sig,lya_model_high_2sig,lya_intrinsic_low_2sig,lya_intrinsic_low_1sig,lya_intrinsic_median,lya_intrinsic_high_1sig,lya_intrinsic_high_2sig,lya_ism_low_2sig,lya_ism_low_1sig,lya_ism_median,lya_ism_high_1sig,lya_ism_high_2sig,lya_reversal_low_2sig,lya_reversal_low_1sig,lya_reversal_median,lya_reversal_high_1sig,lya_reversal_high_2sig,lya_intrinsic_fluxes,vs_n value,am_n value,fw_L_n value,fw_G_n value,h1_col value,h1_b value,h1_vel value,h1_col2 value,h1_b2 value,h1_vel2 value,h1_col3 value,h1_b3 value,h1_vel3 value,d2h value,p value,wave_lya,flux_lya,error_lya
0,1.4616231958709476e-14,1.5025456597762444e-14,1.546477178060608e-14,1.5913824700712847e-14,1.635229430640516e-14,1.5114145432399868e-14,1.5540452352272126e-14,1.6005504791971142e-14,1.647649701901192e-14,1.6935711024870665e-14,0.6688314827054862,0.6699894238385018,0.6711655665554888,0.6722909600191814,0.6733571167052584,0.6919863617746435,0.6921180549766086,0.6922480094636385,0.6923715995631957,0.6924796864479305,1.6235392562790284e-12,8.816344543714633,-10.480821874785608,12.69060979709645,94.50938472684891,18.014355260689026,11.814602082275337,7.409292324189191,13.189552845472226,,-29.86887817631528,,,,,1.0008411902909815,1214.5034203751095,1.834624744061642e-14,9.312581765843e-15
1,1.8208166412545145e-14,1.8716702024261817e-14,1.92636854991415e-14,1.982253350790618e-14,2.0368686004390515e-14,1.8837505449560265e-14,1.936865044836892e-14,1.9947858651410797e-14,2.0534376713955615e-14,2.110608359662327e-14,0.8201175681137695,0.8215594429296771,0.823022677032326,0.8244239076128199,0.825751364579523,0.8489401760347213,0.8491042265142946,0.8492662535633064,0.8494202669364065,0.8495550318745195,1.6956083224575238e-12,9.273282738165813,-10.4455084940744,13.267501087409729,95.73360481945895,18.035499926776588,12.02520955732688,7.949498456258018,13.570794383405431,,-26.247818826833797,,,,,1.0056548787965418,1214.516299763381,1.6823129735522684e-14,9.624183164281229e-15
2,2.0430992777102863e-14,2.1001150044802857e-14,2.1613718102049563e-14,2.2240425710473903e-14,2.2852727901633185e-14,2.1149512710535846e-14,2.174518065466569e-14,2.239485287703559e-14,2.305340443993266e-14,2.3694783591157745e-14,0.9035684456487627,0.9051847723372095,0.9068250728789046,0.9083962915962482,0.9098846551538253,0.9358801776977453,0.9360643399591052,0.9362462003854836,0.9364190226483585,0.9365705010534914,1.7757200554302376e-12,9.705065428702989,-10.40713650928328,13.897380341188489,97.01501535999378,18.057335256140444,12.247516985571588,8.395372729320824,14.013859757931176,,-21.76233908785813,,,,,1.022462843521323,1214.5291789027654,2.318312574789254e-14,9.042122451718808e-15
3,2.1538735843686788e-14,2.2140274339857546e-14,2.2785717733702146e-14,2.3444848812803402e-14,2.4090289039005783e-14,2.2314610278143275e-14,2.2940837176801707e-14,2.3625928280728586e-14,2.43204215788315e-14,2.4997399198651533e-14,0.9324982020736658,0.9342001978806653,0.9359278131786934,0.9375836420447565,0.9391508027371002,0.9665270775787618,0.9667212780113101,0.9669130171544962,0.9670953159486597,0.9672552670262227,1.8619003335324183e-12,10.131199153660159,-10.368162735311488,14.552109029231403,98.31168637806243,18.078678476239023,12.47434835530655,8.82114214380962,14.59571095322528,,-17.069429361100827,,,,,1.0587352607065066,1214.5420577932769,2.2793722679183108e-14,1.0567807513675673e-14
4,2.2352650103190576e-14,2.2975348072806672e-14,2.3644074113917074e-14,2.4327040929069823e-14,2.4996819620558165e-14,2.3173674166324735e-14,2.3824317588331048e-14,2.453504355235161e-14,2.5255541890085706e-14,2.5959036842336837e-14,0.9461646901561467,0.9479308677588266,0.9497196241395486,0.9514374960301165,0.9530620343665966,0.9814386204166032,0.9816404612738089,0.9818394807561016,0.9820285708582802,0.9821946599405477,1.9432857586684932e-12,10.54671124981367,-10.330021855573412,15.183031142607588,99.55089529382266,18.099298400300242,12.742947170850071,9.226234558159161,14.926241155765211,,-14.512470125664136,,,,,1.1160177352579677,1214.5549364349292,2.6014335068155932e-14,9.575010360594275e-15
5,2.3051637494994497e-14,2.369327926338518e-14,2.4382022068492578e-14,2.5085067377572614e-14,2.5775334865722598e-14,2.3917383185216975e-14,2.4588289614094942e-14,2.5321628311543537e-14,2.606335185715659e-14,2.678852132492693e-14,0.9533050192558247,0.9551278503711037,0.9569690978386448,0.9587411540268299,0.9604129212175515,0.989639421055737,0.9898477353798251,0.9900533420788961,0.9902485715278686,0.9904200522103016,,,,,,,,,,,,,,,,,1214.567814827738,2.0217427924395896e-14,8.839723928972393e-15
6,2.3684133975359027e-14,2.4343037494246654e-14,2.504951409048175e-14,2.5772112161671443e-14,2.6480698648836285e-14,2.459506226110826e-14,2.5283526825159308e-14,2.6037345211569592e-14,2.6799621435954398e-14,2.7543191482848326e-14,0.9562588948962025,0.9581313754541425,0.9600222774244938,0.9618399613675805,0.9635557402754732,0.9935451568300973,0.9937589579792935,0.9939706337559013,0.9941711196823695,0.9943476069621757,,,,,,,,,,,,,,,,,1214.580692971717,2.3332642309675973e-14,9.535226917127635e-15
7,2.4291065253280805e-14,2.496657884566925e-14,2.568986448145396e-14,2.6429298620518958e-14,2.715530102252175e-14,2.5248919597507914e-14,2.5954092021507527e-14,2.6727363513606104e-14,2.7509026655560505e-14,2.8270069545749145e-14,0.9569527520233398,0.9588714481623344,0.9608072163669312,0.9626709249582894,0.9644274592151929,0.995142591656039,0.9953620906723473,0.9955793243289437,0.9957849166948887,0.995965978954826,,,,,,,,,,,,,,,,,1214.593570866881,2.2989012901436165e-14,9.936662088852813e-15
8,2.48987902940909e-14,2.5591225271769317e-14,2.632990973003829e-14,2.7085900899178184e-14,2.782968912599271e-14,2.5903523729819616e-14,2.662686705006212e-14,2.741895510074948e-14,2.8219364954230463e-14,2.8999325758810244e-14,0.9565689616735564,0.9585321998810303,0.9605130449809554,0.9624211043822264,0.964219981004197,0.9956560334864446,0.9958814028427505,0.9961043406063266,0.9963153244305512,0.9965009553868167,,,,,,,,,,,,,,,,,1214.6064485132438,1.137416678583577e-14,8.826438217194709e-15
9,2.5515974548891084e-14,2.6224936044688698e-14,2.6980398608630422e-14,2.7753404630678218e-14,2.851177631176659e-14,2.6571350093103365e-14,2.7311969452563813e-14,2.8124619355758045e-14,2.894281523441785e-14,2.974137887709495e-14,0.9555497046422571,0.9575575726780985,0.9595843785874749,0.9615379504153972,0.9633782762848806,0.995544226028011,0.9957755132132162,0.9960041423081594,0.9962205936619177,0.9964109611099012,,,,,,,,,,,,,,,,,1214.6193259108206,2.1850404108682622e-14,9.266089821434106e-15
