,lya_model_low_2sig,lya_model_low_1sig,lya_model_median,lya_model_high_1sig,lya_model_high_2sig,lya_intrinsic_low_2sig,lya_intrinsic_low_1sig,lya_intrinsic_median,lya_intrinsic_high_1sig,lya_intrinsic_high_2sig,lya_ism_low_2sig,lya_ism_low_1sig,lya_ism_median,lya_ism_high_1sig,lya_ism_high_2sig,lya_reversal_low_2sig,lya_reversal_low_1sig,lya_reversal_median,lya_reversal_high_1sig,lya_reversal_high_2sig,lya_intrinsic_fluxes,vs_n value,am_n value,fw_L_n value,fw_G_n value,h1_col value,h1_b value,h1_vel value,h1_col2 value,h1_b2 value,h1_vel2 value,h1_col3 value,h1_b3 value,h1_vel3 value,d2h value,p value,wave_lya,flux_lya,error_lya
0,7.128725041170867e-16,7.67300619640917e-16,8.251087423196212e-16,8.83796860294173e-16,9.413728910614266e-16,7.829429302026955e-16,8.468872246148448e-16,9.161538684064708e-16,9.86570804827174e-16,1.0563812451605925e-15,0.6211385918792511,0.6284435016411118,0.6366788678194794,0.6461678974761357,0.6561939761743862,0.7035112198377614,0.703736307873198,0.7039972581681399,0.704258671929297,0.7044789630871857,8.702429515971662e-14,46.56352184661911,-11.700481882043222,9.2299635428231,80.94239755474689,18.350817727627252,,3.8510363337592595,,,,,,,,1.0227816647513268,1214.5402929792272,6.136605722015566e-16,9.69536821130818e-16
1,9.532396749866534e-16,1.0259321571412437e-15,1.1031975632285552e-15,1.1815747915654585e-15,1.258612080524547e-15,1.0533258759507528e-15,1.1399418889208406e-15,1.2339002645632205e-15,1.3294147467920945e-15,1.4239358707469507e-15,0.7833119294120177,0.7931827303396891,0.8043019122589745,0.8171241030569697,0.8306834095209057,0.8946314003642065,0.8949320763342574,0.895281323160388,0.8956318581619117,0.8959272311527143,9.959807134600262e-14,50.056227199452024,-11.574907335472952,10.545636933613128,88.54114337808666,18.424447957898206,,5.901086081698877,,,,,,,,1.1333031173624584,1214.5936455441597,1.0564414909307982e-16,8.383528618056764e-16
2,1.0795585080588196e-15,1.1616340392567867e-15,1.2490342546501932e-15,1.3376709520326152e-15,1.424940725052966e-15,1.2038331367652478e-15,1.304021836313628e-15,1.412724546241166e-15,1.5232537966960795e-15,1.6325375324503124e-15,0.8164382863713603,0.827767785761206,0.8405401957494163,0.8552779138852045,0.8708862460072954,0.9444481850081964,0.9447887345998018,0.9451856471062193,0.9455843484062296,0.9459206844994156,1.1401825852088602e-13,54.262326119734254,-11.451417858997601,12.112380902010042,94.99260774285722,18.4848361828522,,7.989326486779623,,,,,,,,1.3810602486813641,1214.646997762322,8.178666399379329e-16,3.958126211662493e-16
3,1.1936151618681961e-15,1.2841233000106538e-15,1.3805405545324051e-15,1.4783773403802135e-15,1.574598219444778e-15,1.3459559806184153e-15,1.4594313922039003e-15,1.5828785775891007e-15,1.7084970799298247e-15,1.8323232996093012e-15,0.8236198061513749,0.8363320836617479,0.8506876907935084,0.8672594510323943,0.8848417937234022,0.9676618593447363,0.9680390215657095,0.9684795574694978,0.9689225465455542,0.9692962550493632,1.2920711963524586e-13,59.42417793071576,-11.338290797993752,14.015898511752557,100.29703953214684,18.53156425642181,,10.397973697149437,,,,,,,,1.6376229043272301,1214.7003496337215,1.4402606142466816e-15,3.3947947278876534e-16
4,1.3117735852845857e-15,1.41093450935354e-15,1.5166569577662708e-15,1.6240600831862717e-15,1.7291787474310674e-15,1.4988233307271197e-15,1.6276964624489355e-15,1.7679133498849373e-15,1.9105473610786915e-15,2.0507822591502214e-15,0.8201452893756935,0.8343711280345144,0.8504241041937292,0.8689829297894022,0.8887229138664162,0.9816475367235762,0.9820611221729633,0.9825475691077836,0.9830381014639012,0.9834509540063122,1.4436050111216151e-13,65.06733244165912,-11.233000870489397,16.183325929233924,104.41473225505071,18.56871191257288,,13.449462115765535,,,,,,,,1.7705297324477318,1214.753701158365,2.418686654856517e-15,6.474305934845135e-16
5,1.437557904256875e-15,1.5457981083034591e-15,1.6611865015498779e-15,1.7785094351666775e-15,1.893340070096716e-15,1.66897568472052e-15,1.8160056350618172e-15,1.976023036756085e-15,2.1389153701932844e-15,2.2990202159080562e-15,0.8077606266789119,0.823621784929222,0.8415586500985535,0.8623295802489577,0.8844745359276751,0.9887655868123761,0.9892211822299213,0.9897576069870535,0.990299490739932,0.9907556285706713,,,,,,,,,,,,,,,,,1214.807052336259,3.1019527335617146e-15,1.090834206145339e-15
6,1.574815347315732e-15,1.6926544496736605e-15,1.8185772989249397e-15,1.946436462945398e-15,2.071388753142739e-15,1.864298777952896e-15,2.033858242610008e-15,2.218578239257006e-15,2.406662171406011e-15,2.5917271983519857e-15,0.7882340280342354,0.8059507228278637,0.8259991057459746,0.8492933175991515,0.874200001794444,0.9916433687369686,0.9921475736114126,0.9927400298232425,0.9933392653644063,0.993842630060771,,,,,,,,,,,,,,,,,1214.8604031674101,2.5334512628637173e-15,9.118380414513384e-16
7,1.7269967741410242e-15,1.8549163860051023e-15,1.99208694156145e-15,2.131273228679228e-15,2.2668273524318794e-15,2.0948454176459264e-15,2.29341099183385e-15,2.510553475895252e-15,2.7322488849931842e-15,2.949976821499161e-15,0.7625652871946804,0.7823881119459872,0.8048724759821914,0.831084650373996,0.8592163551304419,0.9922415880159543,0.9928042655863618,0.9934614182763555,0.9941282794273181,0.9946812686010074,,,,,,,,,,,,,,,,,1214.9137536518251,3.1917691843382592e-15,8.089922948893207e-16
8,1.8956635543501374e-15,2.034500252930688e-15,2.1836276132498714e-15,2.334929623973282e-15,2.4822108190935736e-15,2.3719866658238563e-15,2.610543887562691e-15,2.873826471389296e-15,3.14293351240049e-15,3.408995559974629e-15,0.7308052658046237,0.7530317983455286,0.778318612411638,0.8079323387010495,0.8399275044221021,0.9917257126846322,0.9923662860023027,0.9931004115266017,0.9938454960619716,0.9944555390546966,,,,,,,,,,,,,,,,,1214.9671037895114,1.8201155499641034e-15,8.291690057637301e-16
9,2.0814790576873243e-15,2.23080710068748e-15,2.3922000722802187e-15,2.557080695083192e-15,2.7166243276069135e-15,2.7134760650836425e-15,3.008375339568287e-15,3.3411159890564688e-15,3.684313951009938e-15,4.0332295705533484e-15,0.6921073693215547,0.7170616756516313,0.7455091243128356,0.7790631422267079,0.8157247276748083,0.9905567972774008,0.9913079348669751,0.9921485891225033,0.9929885283327766,0.9936615369096281,,,,,,,,,,,,,,,,,1215.020453580475,2.0893949440324456e-15,6.269833308079119e-16
