,lya_model_low_2sig,lya_model_low_1sig,lya_model_median,lya_model_high_1sig,lya_model_high_2sig,lya_intrinsic_low_2sig,lya_intrinsic_low_1sig,lya_intrinsic_median,lya_intrinsic_high_1sig,lya_intrinsic_high_2sig,lya_ism_low_2sig,lya_ism_low_1sig,lya_ism_median,lya_ism_high_1sig,lya_ism_high_2sig,lya_reversal_low_2sig,lya_reversal_low_1sig,lya_reversal_median,lya_reversal_high_1sig,lya_reversal_high_2sig,lya_intrinsic_fluxes,vs_n value,am_n value,fw_L_n value,fw_G_n value,h1_col value,h1_b value,h1_vel value,h1_col2 value,h1_b2 value,h1_vel2 value,h1_col3 value,h1_b3 value,h1_vel3 value,d2h value,p value,am_b value,fw_L_b value,fw_G_b value,wave_lya,flux_lya,error_lya
0,2.4130838543603745e-15,2.5279321535224872e-15,2.6460752189530047e-15,2.763788806761612e-15,2.877651204091989e-15,2.44203561747507e-15,2.5603926585563468e-15,2.6820073161807166e-15,2.8035384346893096e-15,2.920645345550089e-15,0.6938857930543431,0.6953652628556155,0.6968071520202898,0.698214695881787,0.6995507743583704,0.7014583571919917,0.7019375392019445,0.7023309479845524,0.702656331925301,0.7029388888035956,2.1283625405601037e-13,-17.366635694032738,-11.540482737344405,19.978761346450533,121.4011707616237,17.67372155239063,11.458404240197266,-11.50084868918868,,,,,,,,1.0033826652756825,,,,1214.1261243507824,3.184115066532742e-15,9.688969050847313e-16
1,3.2375133522306283e-15,3.3904316309980438e-15,3.547884640266327e-15,3.704788429310434e-15,3.8565868204368566e-15,3.278080122685712e-15,3.436222381295067e-15,3.5985961422180075e-15,3.7607978610824965e-15,3.917304025687829e-15,0.881812067922516,0.8837864022975247,0.8857105962760929,0.88758894412602,0.8893721587163145,0.8918851979763321,0.8925274316806886,0.8930554224012127,0.8934926887145271,0.8938724868777419,2.290057252598204e-13,-16.785615745047004,-11.498058431857062,21.130431694039476,124.42983773007863,17.7540591411069,11.854177616473832,-11.064298558525163,,,,,,,,1.0223047500885676,,,,1214.1794826117564,2.3836479148952337e-15,9.688969050847313e-16
2,3.6860728522331286e-15,3.8584802565002765e-15,4.03608465387468e-15,4.2130737394337964e-15,4.383691799242321e-15,3.735943581296988e-15,3.914394438061439e-15,4.097964450867241e-15,4.281396671508404e-15,4.458205933958264e-15,0.9300128602475053,0.9322426440876683,0.9344159743359413,0.9365382180826721,0.9385528057600884,0.9413339707535128,0.9420648759541532,0.9426666711012897,0.9431660010428113,0.9436001692423573,2.4554601390939673e-13,-16.187618561520384,-11.450336943191934,22.379348542453073,127.6786608082899,17.825243531697613,12.238185436373682,-10.527225599073674,,,,,,,,1.0880383704716468,,,,1214.2328405258957,3.42854592739025e-15,9.688969050847313e-16
3,4.105108070859347e-15,4.294495336718755e-15,4.489929143616568e-15,4.684791492916932e-15,4.8722060742504664e-15,4.1650209510093016e-15,4.3618034966515996e-15,4.56435268537997e-15,4.766582046795878e-15,4.962314511794563e-15,0.9518021780318202,0.9542575715857818,0.9566540493329575,0.9589957120119323,0.9612169498560318,0.9642085257859341,0.9650224757361576,0.9656937392475693,0.9662511542226069,0.966737052842445,2.6319161498647683e-13,-15.592141765990101,-11.400909913073374,23.677756211901578,131.00588025912427,17.887927582807688,12.682946503145304,-9.787301307758977,,,,,,,,1.2206118486232884,,,,1214.2861980932068,2.2836939688455884e-15,9.688969050847313e-16
4,4.555013333074685e-15,4.762199991735686e-15,4.9755126920334544e-15,5.188249474916319e-15,5.3933754154606365e-15,4.627909709861718e-15,4.842835373427714e-15,5.0650573822820665e-15,5.2866079670412215e-15,5.5013609324490926e-15,0.9643273559808446,0.9670169997324246,0.9696456722476271,0.9722147923686888,0.97465133462546,0.9778321200401613,0.9787343659078862,0.979479781692578,0.9801011078437935,0.9806435590701958,2.827689487118696e-13,-14.998762844438614,-11.350662279564675,24.96095914329823,134.24850126535244,17.94409827216315,13.233992815650947,-8.818413895709798,,,,,,,,1.4117940276690661,,,,1214.3395553136968,3.958475089053981e-15,9.688969050847313e-16
5,5.056779059874655e-15,5.281654814211127e-15,5.513223855307064e-15,5.7453130696257254e-15,5.968572844697183e-15,5.145106448588751e-15,5.37969576817269e-15,5.621853441299184e-15,5.864014888589173e-15,6.09830301179368e-15,0.9699085660543817,0.9728505490119943,0.9757260983079739,0.978537929746375,0.9812055303637112,0.9845486036636121,0.9855503446446747,0.9863788424167041,0.9870724145352323,0.9876786986268545,,,,,,,,,,,,,,,,,,,,1214.3929121873723,4.5371846641513545e-15,9.688970031093033e-16
6,5.637703965942117e-15,5.881064234469408e-15,6.131772225324902e-15,6.384082679694586e-15,6.627139908035619e-15,5.746912997864128e-15,6.001576797853805e-15,6.2649696366991375e-15,6.528525701954381e-15,6.784408424954711e-15,0.9711224066775753,0.9743436940707649,0.9774909966896742,0.9805701206771491,0.983492646350885,0.986964113333807,0.988080121381766,0.9890065520286455,0.9897842908446888,0.9904654680953988,,,,,,,,,,,,,,,,,,,,1214.4462687142402,5.209730783453641e-15,9.719222335484299e-16
7,6.33311963950092e-15,6.5958056263920265e-15,6.866834539214426e-15,7.139819466277666e-15,7.403567665960838e-15,6.470864715178275e-15,6.746462368502849e-15,7.031964231754167e-15,7.31905038753513e-15,7.597294193801199e-15,0.9698886804807284,0.9734239217977239,0.9768771338855893,0.9802592956177859,0.9834694361199396,0.9870145887862714,0.9882651235771054,0.9893085592754337,0.9901893291461975,0.9909629303204213,,,,,,,,,,,,,,,,,,,,1214.4996248943069,7.952996549036208e-15,1.252032005766292e-15
8,7.192273886944958e-15,7.475214048709933e-15,7.766447089195736e-15,8.060928288222379e-15,8.345073901469459e-15,7.368984165748134e-15,7.666583192757506e-15,7.974454506645037e-15,8.285051384062693e-15,8.58764372706922e-15,0.9673490974344952,0.9712424285190006,0.9750481933316035,0.9787757839182546,0.9823168703940112,0.9858315671377245,0.9872475065682705,0.988439753334678,0.9894492242079473,0.9903427678732233,,,,,,,,,,,,,,,,,,,,1214.5529807275796,1.0581197212567494e-14,1.5089890967668741e-15
9,8.285148411383182e-15,8.588021484351706e-15,8.899685819446474e-15,9.216059439595573e-15,9.52233850872757e-15,8.517902543413018e-15,8.837163278067645e-15,9.167654761450302e-15,9.503198921705745e-15,9.829013520046447e-15,0.9639736692680945,0.9682834170388332,0.9724966109627021,0.9766241608183115,0.9805497178513087,0.9838436119114814,0.9854663633095274,0.9868525003917579,0.9880333081942156,0.9890821588178289,,,,,,,,,,,,,,,,,,,,1214.6063362140649,9.185365804908101e-15,2.044047501317449e-15
